dataset	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf	allocation	post_proba
LG01_22665000_22670000	0	0.0031	0.00597	0.00177	1	0.00231	0.00295	0.00213	0.00339	0.54127	-0.82786	0.00302	0.00039	0.07491	0	1	0	0	migration	1
LG01_22940000_22945000	0	0.00314	0.0088	0.0023	1	0.00233	0.00397	0.00238	0.00486	-0.14044	-1.18213	0.00506	0.00191	0.2489	0	1	0	0	migration	1
LG01_23365000_23370000	6e-04	0.00181	0.00764	2e-04	0	0.00075	0.00308	0.00088	0.00343	-0.88622	-0.65216	0.003	0.00109	0.23641	1	0	0	0	migration	1
LG01_23660000_23665000	0	0.00592	0.00899	0.00613	4	0.0047	0.00708	0.00528	0.00662	-0.70593	0.44891	0.00673	0.00084	0.07216	0	1	0	0	migration	1
LG01_23685000_23690000	0	0.00467	0.00284	0.00305	4	0.00279	0.0023	0.00338	0.00258	-1.1139	-0.68136	0.00244	-0.00011	-0.02376	0	1	0	0	migration	1
LG01_24135000_24140000	0	0.00448	0.00326	0.00611	3	0.00465	0.00435	0.00464	0.00411	0.0074	0.37706	0.00459	9e-05	0.0106	0	1	0	0	migration	1
LG01_24270000_24275000	0	0.00144	0.00883	0.00472	3	0.00283	0.0059	0.0027	0.00593	0.31885	-0.03824	0.00506	7e-04	0.08021	0	1	0	0	migration	1
LG01_24345000_24350000	0	0.0035	0.00432	0.00597	4	0.00403	0.00417	0.00415	0.00451	-0.17338	-0.47727	0.00443	0.00032	0.04111	0	1	0	0	migration	1
LG01_24380000_24385000	0	0.00517	0.00559	0.00476	2	0.00439	0.00424	0.00435	0.00453	0.05424	-0.41875	0.00525	0.00094	0.10656	0	1	0	0	migration	1
LG01_24500000_24505000	0	0.0039	0.00923	0.00369	1	0.00297	0.00519	0.00333	0.00566	-0.68296	-0.54174	0.00466	0.00059	0.0727	0	1	0	0	migration	1
LG01_25440000_25445000	0	0.00268	0.00701	0.0033	2	0.00247	0.00422	0.00262	0.00452	-0.34917	-0.41875	0.00363	0.00028	0.04425	0	1	0	0	migration	1
LG01_25850000_25855000	0	0.00387	0.00916	0.00753	4	0.00592	0.00679	0.00499	0.00731	1.18855	-0.46327	0.0067	0.00034	0.02868	0	1	0	0	migration	1
LG02_15000_20000	0	0.00847	0.00726	0.00706	7	0.00652	0.00568	0.0068	0.00627	-0.26557	-0.61338	0.00647	0.00037	0.03183	0	1	0	0	migration	1
LG02_245000_250000	0	0.00351	0.00806	0.00227	3	0.00274	0.00451	0.00254	0.00453	0.51756	-0.02862	0.00469	0.00106	0.1377	0	1	0	0	migration	1
LG02_540000_545000	0	0.00491	0.01268	0.00573	6	0.00428	0.00831	0.00466	0.00806	-0.51812	0.19395	0.00754	0.00124	0.09711	0	1	0	0	migration	1
LG02_760000_765000	0	0.00362	0.01206	0.00483	5	0.00358	0.0068	0.0037	0.0074	-0.20629	-0.52413	0.00585	0.00067	0.06542	0	1	0	0	migration	1
LG02_1550000_1555000	0.00251	0.00628	0.01131	0.00105	0	0.00318	0.00535	0.00321	0.00541	-0.05331	-0.0761	0.00856	0.0043	0.35468	1	0	0	0	migration	1
LG02_2000000_2005000	0	0.00629	0.00985	0.0044	2	0.00481	0.00556	0.00468	0.00624	0.17148	-0.70194	0.00772	0.00254	0.21064	0	1	0	0	migration	1
LG02_2085000_2090000	0.00083	0.00542	0.00729	0.00125	0	0.00275	0.00328	0.00292	0.00374	-0.36886	-0.79019	0.00519	0.00217	0.28211	1	0	0	0	migration	1
LG02_2770000_2775000	0	0.00106	0.00191	0.00573	7	0.00248	0.00367	0.00298	0.00335	-1.06316	0.60562	0.00337	3e-04	0.05089	0	1	0	0	migration	1
LG02_3180000_3185000	0.00231	0.00525	0.01448	0.00147	1	0.00305	0.00707	0.00294	0.00699	0.23489	0.07397	0.00991	0.00485	0.34354	1	0	0	0	migration	1
LG02_3640000_3645000	0	0.00205	0.00739	0.00328	3	0.00249	0.00417	0.00234	0.00467	0.41349	-0.68704	0.00324	-9e-05	-0.01555	0	1	0	0	migration	1
LG02_5905000_5910000	0	0.00294	0.00398	0.00252	2	0.00235	0.00267	0.00239	0.00285	-0.10351	-0.39384	0.00297	0.00046	0.09114	0	1	0	0	migration	1
LG02_6070000_6075000	0	0.00741	0.00529	0.00339	1	0.00419	0.00384	0.00473	0.0038	-0.72765	0.06297	0.00509	0.00108	0.12767	0	1	0	0	migration	1
LG02_6700000_6705000	0	0.00351	0.00289	0.00248	2	0.00249	0.00244	0.00262	0.00235	-0.31595	0.22885	0.00246	-1e-05	-0.00204	0	1	0	0	migration	1
LG02_6745000_6750000	0	0.00167	0.00731	0.00355	2	0.00217	0.00492	0.00229	0.00476	-0.31581	0.21385	0.00471	0.00117	0.15231	0	1	0	0	migration	1
LG02_6835000_6840000	0	0.00289	0.00598	0.00433	8	0.00352	0.004	0.00316	0.00452	0.72124	-0.73085	0.00441	0.00065	0.08626	0	1	0	0	migration	1
LG02_7450000_7455000	0	0.00083	0.00913	0.00208	3	0.00122	0.00519	0.00127	0.00491	-0.26511	0.36631	0.00386	0.00066	0.10097	0	1	0	0	migration	1
LG02_7810000_7815000	0	0.00312	0.00562	0.00042	0	0.00154	0.00215	0.00155	0.00264	-0.0377	-1.17965	0.00208	0.00024	0.06518	0	1	0	0	migration	1
LG02_7880000_7885000	0	0.00168	0.00922	0.00377	4	0.00216	0.00533	0.00239	0.00569	-0.58358	-0.39932	0.00517	0.00142	0.17095	0	1	0	0	migration	1
LG02_7990000_7995000	0	0.00041	0.00373	0.00083	0	0.00046	0.0016	0.00054	0.002	-0.93169	-1.23772	0.00101	-2e-05	-0.00862	0	1	0	0	migration	1
LG02_9385000_9390000	0	0.0048	0.01543	0.00647	3	0.0045	0.01	0.00493	0.00959	-0.556	0.2739	0.00996	0.00271	0.16953	0	1	0	0	migration	1
LG02_10630000_10635000	0	0.00547	0.0061	0.00715	6	0.0057	0.00512	0.00553	0.00581	0.19301	-0.75926	0.0067	0.00129	0.11518	0	1	0	0	migration	1
LG02_10720000_10725000	0	0.00105	0.01497	0.00148	0	0.00105	0.00747	0.00111	0.0072	-0.29572	0.23392	0.00565	0.00139	0.15083	0	1	0	0	migration	1
LG02_10820000_10825000	0	0.0038	0.00951	0.00338	2	0.00282	0.00589	0.00315	0.00565	-0.66466	0.27699	0.00491	0.00055	0.06492	0	1	0	0	migration	1
LG02_11295000_11300000	0	0.00561	0.0108	0.00374	2	0.00389	0.00598	0.00409	0.00637	-0.31627	-0.39002	0.00597	0.00103	0.10212	0	1	0	0	migration	1
LG02_12045000_12050000	0	0.00786	0.01427	0.00662	3	0.0064	0.0087	0.00634	0.00915	0.05805	-0.31665	0.01141	0.00386	0.21811	0	1	0	0	migration	1
LG02_12600000_12605000	0	0.00228	0.01204	0.00311	2	0.00248	0.00686	0.00236	0.00664	0.30271	0.22082	0.00847	0.00379	0.30705	0	1	0	0	migration	1
LG02_12715000_12720000	0	0.00289	0.00434	0.00393	2	0.00284	0.00338	0.00299	0.00362	-0.31605	-0.43152	0.00324	0.00013	0.02246	0	1	0	0	migration	1
LG02_12965000_12970000	0	0.00125	0.00813	0.00209	2	0.00147	0.00402	0.00146	0.00448	0.0524	-0.65458	0.00311	0.00036	0.0666	0	1	0	0	migration	1
LG02_13350000_13355000	0	0.00195	0.00912	0.00065	1	0.00122	0.00476	0.00114	0.00428	0.3988	0.72208	0.0045	0.00151	0.21605	0	1	0	0	migration	1
LG02_14045000_14050000	0	0.00416	0.01062	0.00271	1	0.0034	0.00604	0.00301	0.00584	0.82649	0.22276	0.00579	0.00108	0.11058	0	1	0	0	migration	1
LG02_14505000_14510000	0.00442	0.00863	0.01032	0.00526	3	0.00618	0.00613	0.00609	0.00682	0.09532	-0.65121	0.01428	0.00813	0.41868	1	0	0	0	migration	1
LG02_15065000_15070000	0	0.00345	0.00452	0.00861	12	0.00454	0.00593	0.00528	0.00575	-0.9053	0.1968	0.00575	0.00052	0.05157	0	1	0	0	migration	1
LG02_15085000_15090000	0	0.00064	0.0081	0.00043	0	0.00045	0.00375	0.00047	0.00374	-0.14427	0.02977	0.00329	0.00119	0.23568	0	1	0	0	migration	1
LG02_15335000_15340000	0	0.00269	0.01263	0.0029	2	0.00264	0.00663	0.00245	0.0068	0.48519	-0.16612	0.00511	0.00048	0.05311	0	1	0	0	migration	1
LG02_15820000_15825000	0	0.0093	0.00703	0.0031	4	0.00489	0.00451	0.00543	0.00444	-0.63841	0.10152	0.00681	0.00211	0.19679	0	1	0	0	migration	1
LG02_16595000_16600000	0	0.0025	0.01502	0.00021	0	0.00118	0.00637	0.00119	0.00667	-0.02874	-0.28966	0.00519	0.00142	0.16984	0	1	0	0	migration	1
LG02_16830000_16835000	0.00042	0.00709	0.00834	0.00167	1	0.00413	0.00432	0.00384	0.00438	0.48809	-0.08789	0.00684	0.00261	0.2519	1	0	0	0	migration	1
LG02_16925000_16930000	0.00042	0.0023	0.01171	0.00188	2	0.00185	0.00559	0.00183	0.00595	0.07671	-0.3918	0.00497	0.00125	0.15482	1	0	0	0	migration	1
LG02_16955000_16960000	0	0.00316	0.00695	0.00232	1	0.00262	0.00384	0.0024	0.00406	0.59814	-0.33285	0.00371	0.00047	0.07379	0	1	0	0	migration	1
LG02_18460000_18465000	0	0.00432	0.00391	0.00329	2	0.00351	0.00291	0.00334	0.00316	0.3389	-0.49591	0.00407	0.00086	0.12746	0	1	0	0	migration	1
LG02_19140000_19145000	0	0.00355	0.00773	0.00251	4	0.00249	0.00425	0.00265	0.00448	-0.38238	-0.33622	0.00478	0.00141	0.18593	0	1	0	0	migration	1
LG02_19480000_19485000	0	0.00457	0.01745	0.00291	1	0.00328	0.00885	0.00327	0.00891	0.01355	-0.04814	0.0088	0.00274	0.19767	0	1	0	0	migration	1
LG02_20760000_20765000	0	0.00229	0.01248	0.00083	0	0.00116	0.00598	0.00137	0.00583	-0.90951	0.16157	0.00639	0.00282	0.30105	0	1	0	0	migration	1
LG02_20795000_20800000	0	0.00169	0.00338	0.00444	5	0.00216	0.00344	0.00268	0.00343	-1.24608	0.02448	0.00287	7e-05	0.01311	0	1	0	0	migration	1
LG02_21575000_21580000	0	0.00204	0.00673	0.00306	2	0.00226	0.00409	0.00223	0.00429	0.06775	-0.29093	0.00332	0.00015	0.02431	0	1	0	0	migration	1
LG02_21590000_21595000	0	0.00461	0.00607	0.00461	4	0.0038	0.00444	0.00404	0.00468	-0.37708	-0.32592	0.00502	9e-04	0.10606	0	1	0	0	migration	1
LG02_21870000_21875000	0	0.00293	0.00376	0.00125	1	0.00184	0.00213	0.00183	0.0022	0.02916	-0.1861	0.00245	0.00046	0.11315	0	1	0	0	migration	1
LG02_22260000_22265000	0	0.00104	0.0054	0.00083	1	0.00066	0.00239	0.00082	0.00273	-1.12062	-0.77401	0.00158	5e-05	0.01778	0	1	0	0	migration	1
LG02_23660000_23665000	0	0.00291	0.01103	0.00416	4	0.00289	0.00637	0.0031	0.00666	-0.43701	-0.27623	0.00564	0.00102	0.10688	0	1	0	0	migration	1
LG02_23760000_23765000	0	0.00062	0.00874	0.00229	1	0.00118	0.00566	0.00128	0.00483	-0.46541	1.10199	0.00443	0.00101	0.13852	0	1	0	0	migration	1
LG02_23800000_23805000	0	0.00248	0.0066	0.00103	1	0.00158	0.00296	0.00154	0.00334	0.18446	-0.73537	0.00452	0.00225	0.35063	0	1	0	0	migration	1
LG02_24690000_24695000	0.00062	0.00392	0.01937	0.00515	3	0.00379	0.01032	0.00397	0.01074	-0.28862	-0.2546	0.0109	0.00384	0.22914	1	0	0	0	migration	1
LG02_26185000_26190000	0	0.00308	0.00493	0.02381	22	0.0103	0.01342	0.01178	0.01258	-0.80967	0.43181	0.01084	-0.00102	-0.04917	0	1	0	0	migration	1
LG02_27380000_27385000	0	0.00541	0.00875	0.00583	9	0.00469	0.0063	0.00492	0.00638	-0.30282	-0.08197	0.00594	0.00044	0.04158	0	1	0	0	migration	1
LG02_27690000_27695000	0	0.00249	0.01493	0.00518	3	0.00315	0.00913	0.00336	0.00881	-0.39475	0.24107	0.00699	0.00085	0.07	0	1	0	0	migration	1
LG02_27985000_27990000	0	0.00355	0.00752	0.00877	7	0.00569	0.00749	0.00539	0.00713	0.35484	0.322	0.00655	-4e-05	-0.00308	0	1	0	0	migration	1
LG02_28395000_28400000	0	0.00396	0.00438	0.01188	24	0.00688	0.00647	0.00694	0.00712	-0.05513	-0.58393	0.00623	-0.00045	-0.0379	0	1	0	0	migration	1
LG02_31520000_31525000	0	0.00468	0.00936	0.01546	9	0.00889	0.01086	0.00882	0.01087	0.056	-0.00371	0.00984	-4e-05	-0.002	0	1	0	0	migration	1
LG03_1095000_1100000	0	0.00438	0.00939	0.00689	3	0.00547	0.00657	0.00494	0.00713	0.69184	-0.50844	0.0063	0.00028	0.0246	0	1	0	0	migration	1
LG03_1315000_1320000	0	0.00573	0.01986	0.01392	5	0.00863	0.01388	0.00861	0.0148	0.01376	-0.40054	0.01259	0.00134	0.06089	0	1	0	0	migration	1
LG03_1445000_1450000	0	0.00739	0.00841	0.0078	6	0.00624	0.00657	0.00665	0.0071	-0.39937	-0.4843	0.00674	0.00034	0.02776	0	1	0	0	migration	1
LG03_2370000_2375000	0	0.01498	0.01436	0.01867	5	0.01443	0.01327	0.01474	0.01447	-0.13468	-0.53749	0.01356	-0.00028	-0.01135	0	1	0	0	migration	1
LG03_2615000_2620000	0	0.00505	0.00442	0.01934	15	0.01138	0.01086	0.01068	0.01041	0.42421	0.28468	0.01245	0.00133	0.0612	0	1	0	0	migration	1
LG03_2635000_2640000	0	0.00231	0.00734	0.00797	4	0.00459	0.00598	0.0045	0.00671	0.12142	-0.69267	0.00542	0.00013	0.01352	0	1	0	0	migration	1
LG03_2870000_2875000	0	0.00314	0.00586	0.00627	4	0.00396	0.00524	0.00412	0.00531	-0.25138	-0.08465	0.00519	0.00059	0.06564	0	1	0	0	migration	1
LG03_3150000_3155000	0	0.01019	0.00437	0.00416	1	0.00592	0.00316	0.00628	0.00373	-0.37331	-0.97978	0.00557	0.00103	0.10994	0	1	0	0	migration	1
LG03_3875000_3880000	0	0.00414	0.01055	0.0089	8	0.00503	0.00779	0.00571	0.00852	-0.75926	-0.54937	0.00644	2e-05	0.00195	0	1	0	0	migration	1
LG03_4210000_4215000	0	0.00288	0.00391	0.00206	2	0.00195	0.00256	0.00216	0.00261	-0.62499	-0.11663	0.00282	0.00057	0.12053	0	1	0	0	migration	1
LG03_4340000_4345000	0	0.01	0.00958	0.00916	5	0.00832	0.0079	0.00839	0.00821	-0.05749	-0.24289	0.00947	0.00136	0.08359	0	1	0	0	migration	1
LG03_4720000_4725000	0	0.00165	0.00619	0.00021	0	0.00076	0.00274	0.00081	0.0028	-0.41545	-0.14476	0.0028	0.00105	0.2469	0	1	0	0	migration	1
LG03_5255000_5260000	0	0.00522	0.01565	0.00417	3	0.00377	0.00796	0.00411	0.00868	-0.5326	-0.53919	0.00813	0.00226	0.1739	0	1	0	0	migration	1
LG03_5560000_5565000	0	0.00147	0.01026	0.00649	6	0.00324	0.00684	0.00349	0.00734	-0.45018	-0.43621	0.00614	0.0011	0.10664	0	1	0	0	migration	1
LG03_8115000_8120000	0	0.00245	0.01245	0.00286	2	0.00222	0.00721	0.00232	0.0067	-0.28815	0.48786	0.00618	0.00146	0.14492	0	1	0	0	migration	1
LG03_8160000_8165000	0	0.00247	0.00678	0.00329	4	0.00243	0.00411	0.00252	0.00441	-0.23858	-0.43571	0.00367	4e-04	0.0622	0	1	0	0	migration	1
LG03_8910000_8915000	0	0.00357	0.00714	0.00483	4	0.00385	0.00516	0.00368	0.00525	0.29684	-0.11064	0.00496	0.00046	0.05251	0	1	0	0	migration	1
LG03_9480000_9485000	0	0.00457	0.0079	0.00499	6	0.0041	0.00571	0.00419	0.00564	-0.13104	0.0742	0.00525	0.00035	0.03733	0	1	0	0	migration	1
LG03_10760000_10765000	0	0.00415	0.00539	0.00809	9	0.00512	0.00568	0.00536	0.0059	-0.29157	-0.24115	0.00563	0.00024	0.02319	0	1	0	0	migration	1
LG03_11390000_11395000	0	0.00478	0.00499	0.00416	6	0.00341	0.00417	0.00391	0.00401	-0.82516	0.26424	0.00522	0.00143	0.17064	0	1	0	0	migration	1
LG03_12020000_12025000	0	0.00835	0.01691	0.00752	2	0.00702	0.01012	0.00695	0.0107	0.06106	-0.35037	0.00923	0.00067	0.04067	0	1	0	0	migration	1
LG03_14095000_14100000	0	0.00422	0.00633	0.00739	10	0.00536	0.00583	0.00508	0.00601	0.34965	-0.19596	0.00554	-6e-05	-0.00575	0	1	0	0	migration	1
LG03_14255000_14260000	0.00021	0.00292	0.01125	0.00146	1	0.00172	0.00471	0.00192	0.00556	-0.63326	-0.99008	0.00368	0.00047	0.07316	1	0	0	0	migration	1
LG03_15135000_15140000	0	0.00811	0.01227	0.00374	2	0.00449	0.00588	0.00519	0.00702	-0.86512	-1.04295	0.00837	0.00318	0.25064	0	1	0	0	migration	1
LG03_16625000_16630000	0	0.00145	0.00581	0.00166	2	0.00126	0.00305	0.00136	0.00327	-0.47165	-0.44395	0.00247	0.00032	0.07415	0	1	0	0	migration	1
LG03_18245000_18250000	0	0.00187	0.00664	0.00187	1	0.00143	0.00357	0.00164	0.00373	-0.80198	-0.26882	0.00317	0.00067	0.12821	0	1	0	0	migration	1
LG03_18565000_18570000	0	0.00207	0.01203	0.00643	5	0.00361	0.00737	0.00372	0.00808	-0.19772	-0.57058	0.0059	0.00041	0.03916	0	1	0	0	migration	1
LG03_19720000_19725000	0	0.00442	0.00568	0.0061	4	0.00487	0.00564	0.00461	0.00516	0.36151	0.5953	0.0054	0.00015	0.01506	0	1	0	0	migration	1
LG03_20180000_20185000	0	0.00414	0.00632	0.00676	5	0.00499	0.00576	0.00478	0.00573	0.28348	0.02999	0.00562	0.00025	0.02472	0	1	0	0	migration	1
LG03_21125000_21130000	0	0.00168	0.00421	0.01178	8	0.00662	0.00771	0.00589	0.007	0.78876	0.6549	0.00664	-0.00053	-0.04189	0	1	0	0	migration	1
LG03_22105000_22110000	0	0.00381	0.01142	0.00613	5	0.00423	0.00753	0.00435	0.00769	-0.18157	-0.13318	0.00617	0.00029	0.02611	0	1	0	0	migration	1
LG04_85000_90000	0	0.00877	0.00773	0.00397	2	0.00532	0.00455	0.00558	0.00512	-0.30041	-0.71336	0.00536	0.00042	0.04483	0	1	0	0	migration	1
LG04_870000_875000	0	0.0041	0.01414	0.00697	5	0.00495	0.00853	0.00485	0.00925	0.13121	-0.50296	0.00708	0.00035	0.02726	0	1	0	0	migration	1
LG04_1525000_1530000	0	0.00267	0.0082	0.00369	5	0.00252	0.00492	0.00278	0.00521	-0.61178	-0.35435	0.005	0.00128	0.15837	0	1	0	0	migration	1
LG04_2480000_2485000	0	0.00327	0.01821	0.00982	9	0.00663	0.01158	0.00573	0.01227	1.00292	-0.36712	0.01056	0.00145	0.08018	0	1	0	0	migration	1
LG04_2880000_2885000	0	0.00324	0.01112	0.00208	2	0.00221	0.00588	0.00233	0.00578	-0.33652	0.11227	0.00497	0.00092	0.11049	0	1	0	0	migration	1
LG04_2955000_2960000	0	0.00415	0.01245	0.00747	4	0.00517	0.00884	0.00509	0.00872	0.10673	0.08547	0.00741	0.00041	0.03062	0	1	0	0	migration	1
LG04_3260000_3265000	0.00063	0.00625	0.00688	0.00771	3	0.00632	0.00589	0.00611	0.00639	0.21718	-0.50204	0.00858	0.00247	0.18094	1	0	0	0	migration	1
LG04_3340000_3345000	0	0.01112	0.01193	0.00647	4	0.00762	0.00741	0.00771	0.00806	-0.07378	-0.51645	0.00863	0.00111	0.07469	0	1	0	0	migration	1
LG04_3960000_3965000	0	0.00084	0.01132	0.00775	6	0.00352	0.00777	0.00376	0.00835	-0.41101	-0.45164	0.00624	6e-04	0.05447	0	1	0	0	migration	1
LG04_4690000_4695000	0	0.00228	0.00872	0.00145	1	0.00149	0.00517	0.00164	0.00445	-0.539	1.0367	0.00431	0.00098	0.13789	0	1	0	0	migration	1
LG04_5900000_5905000	0.00084	0.0044	0.01467	0.00084	0	0.00256	0.00615	0.00229	0.00679	0.71982	-0.61144	0.00611	0.00176	0.18075	1	0	0	0	migration	1
LG04_6215000_6220000	0	0.00482	0.00713	0.00482	7	0.00377	0.00572	0.00422	0.00523	-0.68149	0.59239	0.00694	0.0022	0.2016	0	1	0	0	migration	1
LG04_7070000_7075000	0	0.00209	0.00752	0.00313	4	0.00208	0.0046	0.00229	0.00467	-0.58431	-0.09635	0.00363	3e-04	0.04633	0	1	0	0	migration	1
LG04_7255000_7260000	0	0.00232	0.00634	0.00254	2	0.00196	0.00368	0.00213	0.00389	-0.5028	-0.34516	0.0035	0.00068	0.11647	0	1	0	0	migration	1
LG04_7810000_7815000	0.00063	0.00272	0.02424	0.00188	1	0.0018	0.01044	0.00201	0.01144	-0.67365	-0.56902	0.00925	0.00314	0.21861	1	0	0	0	migration	1
LG04_7990000_7995000	0	0.00417	0.01315	0.00125	1	0.00237	0.00547	0.00238	0.00631	-0.02965	-0.85621	0.00878	0.00486	0.40366	0	1	0	0	migration	1
LG04_8385000_8390000	0	0.00207	0.01344	0.00145	1	0.00143	0.00646	0.00154	0.00652	-0.42649	-0.05437	0.00493	0.00098	0.11908	0	1	0	0	migration	1
LG04_9015000_9020000	0	0.00206	0.01358	0.00329	2	0.00231	0.00683	0.00234	0.00739	-0.10351	-0.48722	0.00789	0.00332	0.28387	0	1	0	0	migration	1
LG04_9025000_9030000	0.00104	0.00539	0.01471	0.00207	1	0.00338	0.00768	0.00327	0.00735	0.22885	0.2895	0.00944	0.00391	0.27808	1	0	0	0	migration	1
LG04_9125000_9130000	0	0.00269	0.00848	0.00952	5	0.00466	0.00709	0.00535	0.00788	-0.82195	-0.64976	0.00807	0.00219	0.16915	0	1	0	0	migration	1
LG04_9470000_9475000	0	0.0031	0.00911	0.00269	4	0.00237	0.00472	0.00254	0.00517	-0.41043	-0.55647	0.00431	0.00077	0.10538	0	1	0	0	migration	1
