dataset	bialsites_avg	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	minDivAB_avg	maxDivAB_avg	Gmin_avg	Gmax_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf
LG01_18015000_18020000	21.00000	0.00126	0.00042	0.00210	0.00063	1.00000	0.00048	0.00101	0.00046	0.00120	0.19651	-0.95942	0.00251	0.00177	0.00168	0.00357	0.66977	1.42326	0.56493	1.00000	0.00000	0.00000	0.00000
LG01_18340000_18345000	48.00000	0.00000	0.00084	0.00484	0.00442	4.00000	0.00209	0.00418	0.00230	0.00406	-0.58431	0.19790	0.00327	0.00014	0.00084	0.00673	0.25714	2.05714	0.02344	0.00000	1.00000	0.00000	0.00000
LG01_18495000_18500000	55.00000	0.00000	0.00187	0.00437	0.00521	4.00000	0.00307	0.00425	0.00310	0.00420	-0.06709	0.08067	0.00364	-0.00001	0.00062	0.00750	0.17143	2.05714	-0.00207	0.00000	1.00000	0.00000	0.00000
LG01_19855000_19860000	18.00000	0.00000	0.00288	0.00041	0.00041	0.00000	0.00130	0.00033	0.00144	0.00036	-0.59482	-0.46983	0.00084	0.00002	0.00000	0.00185	0.00000	2.21918	0.01208	0.00000	1.00000	0.00000	0.00000
LG01_19915000_19920000	30.00000	0.00000	0.00280	0.00172	0.00194	2.00000	0.00201	0.00167	0.00208	0.00161	-0.19636	0.24000	0.00196	0.00012	0.00000	0.00388	0.00000	1.97561	0.03562	0.00000	1.00000	0.00000	0.00000
LG01_20385000_20390000	59.00000	0.00000	0.00148	0.00906	0.00190	2.00000	0.00134	0.00461	0.00148	0.00480	-0.59482	-0.25536	0.00350	0.00053	0.00000	0.00780	0.00000	2.22742	0.08854	0.00000	1.00000	0.00000	0.00000
LG01_20715000_20720000	118.00000	0.00000	0.00349	0.01723	0.00349	2.00000	0.00310	0.00951	0.00306	0.00908	0.10365	0.30683	0.00765	0.00134	0.00103	0.01539	0.13413	2.01192	0.10406	0.00000	1.00000	0.00000	0.00000
LG01_21150000_21155000	109.00000	0.00295	0.00611	0.01180	0.00211	1.00000	0.00334	0.00560	0.00360	0.00609	-0.45306	-0.51311	0.00933	0.00486	0.00590	0.01580	0.63237	1.69385	0.37185	1.00000	0.00000	0.00000	0.00000
LG01_21170000_21175000	118.00000	0.00000	0.00877	0.00710	0.00877	3.00000	0.00756	0.00668	0.00768	0.00695	-0.10319	-0.24877	0.00873	0.00160	0.00418	0.01232	0.47872	1.41223	0.10938	0.00000	1.00000	0.00000	0.00000
LG01_22060000_22065000	55.00000	0.00000	0.00252	0.00631	0.00273	1.00000	0.00237	0.00377	0.00230	0.00396	0.18282	-0.30494	0.00329	0.00022	0.00021	0.00778	0.06383	2.36170	0.03832	0.00000	1.00000	0.00000	0.00000
LG01_22610000_22615000	103.00000	0.00000	0.00377	0.01151	0.00628	7.00000	0.00473	0.00763	0.00440	0.00779	0.48064	-0.13168	0.00728	0.00110	0.00146	0.01151	0.20128	1.58147	0.08831	0.00000	1.00000	0.00000	0.00000
LG01_22665000_22670000	49.00000	0.00000	0.00310	0.00597	0.00177	1.00000	0.00231	0.00295	0.00213	0.00339	0.54127	-0.82786	0.00302	0.00039	0.00066	0.00619	0.21951	2.04878	0.07491	0.00000	1.00000	0.00000	0.00000
LG01_22940000_22945000	68.00000	0.00000	0.00314	0.00880	0.00230	1.00000	0.00233	0.00397	0.00238	0.00486	-0.14044	-1.18213	0.00506	0.00191	0.00188	0.00984	0.37241	1.94483	0.24890	0.00000	1.00000	0.00000	0.00000
LG01_23365000_23370000	51.00000	0.00060	0.00181	0.00764	0.00020	0.00000	0.00075	0.00308	0.00088	0.00343	-0.88622	-0.65216	0.00300	0.00109	0.00080	0.00663	0.26766	2.20818	0.23641	1.00000	0.00000	0.00000	0.00000
LG01_23660000_23665000	103.00000	0.00000	0.00592	0.00899	0.00613	4.00000	0.00470	0.00708	0.00528	0.00662	-0.70593	0.44891	0.00673	0.00084	0.00000	0.01450	0.00000	2.15514	0.07216	0.00000	1.00000	0.00000	0.00000
LG01_23685000_23690000	52.00000	0.00000	0.00467	0.00284	0.00305	4.00000	0.00279	0.00230	0.00338	0.00258	-1.11390	-0.68136	0.00244	-0.00011	0.00020	0.00528	0.08333	2.16667	-0.02376	0.00000	1.00000	0.00000	0.00000
LG01_24135000_24140000	68.00000	0.00000	0.00448	0.00326	0.00611	3.00000	0.00465	0.00435	0.00464	0.00411	0.00740	0.37706	0.00459	0.00009	0.00143	0.00673	0.31111	1.46667	0.01060	0.00000	1.00000	0.00000	0.00000
LG01_24270000_24275000	73.00000	0.00000	0.00144	0.00883	0.00472	3.00000	0.00283	0.00590	0.00270	0.00593	0.31885	-0.03824	0.00506	0.00070	0.00082	0.01026	0.16216	2.02703	0.08021	0.00000	1.00000	0.00000	0.00000
LG01_24345000_24350000	67.00000	0.00000	0.00350	0.00432	0.00597	4.00000	0.00403	0.00417	0.00415	0.00451	-0.17338	-0.47727	0.00443	0.00032	0.00082	0.00741	0.18605	1.67442	0.04111	0.00000	1.00000	0.00000	0.00000
LG01_24380000_24385000	75.00000	0.00000	0.00517	0.00559	0.00476	2.00000	0.00439	0.00424	0.00435	0.00453	0.05424	-0.41875	0.00525	0.00094	0.00393	0.00704	0.74836	1.33917	0.10656	0.00000	1.00000	0.00000	0.00000
LG01_24500000_24505000	82.00000	0.00000	0.00390	0.00923	0.00369	1.00000	0.00297	0.00519	0.00333	0.00566	-0.68296	-0.54174	0.00466	0.00059	0.00062	0.00862	0.13203	1.84841	0.07270	0.00000	1.00000	0.00000	0.00000
LG01_25440000_25445000	63.00000	0.00000	0.00268	0.00701	0.00330	2.00000	0.00247	0.00422	0.00262	0.00452	-0.34917	-0.41875	0.00363	0.00028	0.00062	0.00742	0.17035	2.04416	0.04425	0.00000	1.00000	0.00000	0.00000
LG01_25850000_25855000	101.00000	0.00000	0.00387	0.00916	0.00753	4.00000	0.00592	0.00679	0.00499	0.00731	1.18855	-0.46327	0.00670	0.00034	0.00000	0.01283	0.00000	1.91554	0.02868	0.00000	1.00000	0.00000	0.00000
LG02_15000_20000	113.00000	0.00000	0.00847	0.00726	0.00706	7.00000	0.00652	0.00568	0.00680	0.00627	-0.26557	-0.61338	0.00647	0.00037	0.00040	0.01412	0.06239	2.18371	0.03183	0.00000	1.00000	0.00000	0.00000
LG02_245000_250000	67.00000	0.00000	0.00351	0.00806	0.00227	3.00000	0.00274	0.00451	0.00254	0.00453	0.51756	-0.02862	0.00469	0.00106	0.00062	0.00744	0.13235	1.58824	0.13770	0.00000	1.00000	0.00000	0.00000
LG02_540000_545000	114.00000	0.00000	0.00491	0.01268	0.00573	6.00000	0.00428	0.00831	0.00466	0.00806	-0.51812	0.19395	0.00754	0.00124	0.00164	0.01391	0.21719	1.84615	0.09711	0.00000	1.00000	0.00000	0.00000
LG02_760000_765000	102.00000	0.00000	0.00362	0.01206	0.00483	5.00000	0.00358	0.00680	0.00370	0.00740	-0.20629	-0.52413	0.00585	0.00067	0.00020	0.01206	0.03435	2.06107	0.06542	0.00000	1.00000	0.00000	0.00000
LG02_1550000_1555000	101.00000	0.00251	0.00628	0.01131	0.00105	0.00000	0.00318	0.00535	0.00321	0.00541	-0.05331	-0.07610	0.00856	0.00430	0.00523	0.01424	0.61141	1.66304	0.35468	1.00000	0.00000	0.00000	0.00000
LG02_2000000_2005000	98.00000	0.00000	0.00629	0.00985	0.00440	2.00000	0.00481	0.00556	0.00468	0.00624	0.17148	-0.70194	0.00772	0.00254	0.00021	0.01258	0.02715	1.62896	0.21064	0.00000	1.00000	0.00000	0.00000
LG02_2085000_2090000	71.00000	0.00083	0.00542	0.00729	0.00125	0.00000	0.00275	0.00328	0.00292	0.00374	-0.36886	-0.79019	0.00519	0.00217	0.00333	0.00917	0.64286	1.76786	0.28211	1.00000	0.00000	0.00000	0.00000
LG02_2770000_2775000	41.00000	0.00000	0.00106	0.00191	0.00573	7.00000	0.00248	0.00367	0.00298	0.00335	-1.06316	0.60562	0.00337	0.00030	0.00021	0.00701	0.06294	2.07692	0.05089	0.00000	1.00000	0.00000	0.00000
LG02_3180000_3185000	112.00000	0.00231	0.00525	0.01448	0.00147	1.00000	0.00305	0.00707	0.00294	0.00699	0.23489	0.07397	0.00991	0.00485	0.00462	0.01406	0.46588	1.41882	0.34354	1.00000	0.00000	0.00000	0.00000
LG02_3640000_3645000	62.00000	0.00000	0.00205	0.00739	0.00328	3.00000	0.00249	0.00417	0.00234	0.00467	0.41349	-0.68704	0.00324	-0.00009	0.00000	0.00821	0.00000	2.53521	-0.01555	0.00000	1.00000	0.00000	0.00000
LG02_5905000_5910000	45.00000	0.00000	0.00294	0.00398	0.00252	2.00000	0.00235	0.00267	0.00239	0.00285	-0.10351	-0.39384	0.00297	0.00046	0.00042	0.00524	0.14118	1.76471	0.09114	0.00000	1.00000	0.00000	0.00000
LG02_6070000_6075000	76.00000	0.00000	0.00741	0.00529	0.00339	1.00000	0.00419	0.00384	0.00473	0.00380	-0.72765	0.06297	0.00509	0.00108	0.00148	0.01143	0.29099	2.24480	0.12767	0.00000	1.00000	0.00000	0.00000
LG02_6700000_6705000	43.00000	0.00000	0.00351	0.00289	0.00248	2.00000	0.00249	0.00244	0.00262	0.00235	-0.31595	0.22885	0.00246	-0.00001	0.00021	0.00496	0.08411	2.01869	-0.00204	0.00000	1.00000	0.00000	0.00000
LG02_6745000_6750000	60.00000	0.00000	0.00167	0.00731	0.00355	2.00000	0.00217	0.00492	0.00229	0.00476	-0.31581	0.21385	0.00471	0.00117	0.00063	0.00794	0.13300	1.68473	0.15231	0.00000	1.00000	0.00000	0.00000
LG02_6835000_6840000	64.00000	0.00000	0.00289	0.00598	0.00433	8.00000	0.00352	0.00400	0.00316	0.00452	0.72124	-0.73085	0.00441	0.00065	0.00062	0.00825	0.14026	1.87013	0.08626	0.00000	1.00000	0.00000	0.00000
LG02_7450000_7455000	58.00000	0.00000	0.00083	0.00913	0.00208	3.00000	0.00122	0.00519	0.00127	0.00491	-0.26511	0.36631	0.00386	0.00066	0.00021	0.00789	0.05373	2.04179	0.10097	0.00000	1.00000	0.00000	0.00000
LG02_7810000_7815000	44.00000	0.00000	0.00312	0.00562	0.00042	0.00000	0.00154	0.00215	0.00155	0.00264	-0.03770	-1.17965	0.00208	0.00024	0.00021	0.00729	0.10000	3.50000	0.06518	0.00000	1.00000	0.00000	0.00000
LG02_7880000_7885000	70.00000	0.00000	0.00168	0.00922	0.00377	4.00000	0.00216	0.00533	0.00239	0.00569	-0.58358	-0.39932	0.00517	0.00142	0.00021	0.00754	0.04054	1.45946	0.17095	0.00000	1.00000	0.00000	0.00000
LG02_7990000_7995000	24.00000	0.00000	0.00041	0.00373	0.00083	0.00000	0.00046	0.00160	0.00054	0.00200	-0.93169	-1.23772	0.00101	-0.00002	0.00000	0.00249	0.00000	2.45455	-0.00862	0.00000	1.00000	0.00000	0.00000
LG02_9385000_9390000	128.00000	0.00000	0.00480	0.01543	0.00647	3.00000	0.00450	0.01000	0.00493	0.00959	-0.55600	0.27390	0.00996	0.00271	0.00229	0.01564	0.23023	1.56977	0.16953	0.00000	1.00000	0.00000	0.00000
LG02_10630000_10635000	89.00000	0.00000	0.00547	0.00610	0.00715	6.00000	0.00570	0.00512	0.00553	0.00581	0.19301	-0.75926	0.00670	0.00129	0.00168	0.01263	0.25131	1.88482	0.11518	0.00000	1.00000	0.00000	0.00000
LG02_10720000_10725000	83.00000	0.00000	0.00105	0.01497	0.00148	0.00000	0.00105	0.00747	0.00111	0.00720	-0.29572	0.23392	0.00565	0.00139	0.00042	0.01097	0.07469	1.94191	0.15083	0.00000	1.00000	0.00000	0.00000
LG02_10820000_10825000	79.00000	0.00000	0.00380	0.00951	0.00338	2.00000	0.00282	0.00589	0.00315	0.00565	-0.66466	0.27699	0.00491	0.00055	0.00021	0.01014	0.04306	2.06699	0.06492	0.00000	1.00000	0.00000	0.00000
LG02_11295000_11300000	97.00000	0.00000	0.00561	0.01080	0.00374	2.00000	0.00389	0.00598	0.00409	0.00637	-0.31627	-0.39002	0.00597	0.00103	0.00166	0.01122	0.27853	1.88008	0.10212	0.00000	1.00000	0.00000	0.00000
LG02_12045000_12050000	139.00000	0.00000	0.00786	0.01427	0.00662	3.00000	0.00640	0.00870	0.00634	0.00915	0.05805	-0.31665	0.01141	0.00386	0.00372	0.01675	0.32628	1.46828	0.21811	0.00000	1.00000	0.00000	0.00000
LG02_12600000_12605000	84.00000	0.00000	0.00228	0.01204	0.00311	2.00000	0.00248	0.00686	0.00236	0.00664	0.30271	0.22082	0.00847	0.00379	0.00208	0.01329	0.24523	1.56948	0.30705	0.00000	1.00000	0.00000	0.00000
LG02_12715000_12720000	54.00000	0.00000	0.00289	0.00434	0.00393	2.00000	0.00284	0.00338	0.00299	0.00362	-0.31605	-0.43152	0.00324	0.00013	0.00062	0.00476	0.19149	1.46809	0.02246	0.00000	1.00000	0.00000	0.00000
LG02_12965000_12970000	55.00000	0.00000	0.00125	0.00813	0.00209	2.00000	0.00147	0.00402	0.00146	0.00448	0.05240	-0.65458	0.00311	0.00036	0.00063	0.00709	0.20149	2.28358	0.06660	0.00000	1.00000	0.00000	0.00000
LG02_13350000_13355000	54.00000	0.00000	0.00195	0.00912	0.00065	1.00000	0.00122	0.00476	0.00114	0.00428	0.39880	0.72208	0.00450	0.00151	0.00000	0.00803	0.00000	1.78552	0.21605	0.00000	1.00000	0.00000	0.00000
LG02_14045000_14050000	84.00000	0.00000	0.00416	0.01062	0.00271	1.00000	0.00340	0.00604	0.00301	0.00584	0.82649	0.22276	0.00579	0.00108	0.00062	0.01353	0.10778	2.33533	0.11058	0.00000	1.00000	0.00000	0.00000
LG02_14505000_14510000	136.00000	0.00442	0.00863	0.01032	0.00526	3.00000	0.00618	0.00613	0.00609	0.00682	0.09532	-0.65121	0.01428	0.00813	0.00905	0.02000	0.63391	1.40049	0.41868	1.00000	0.00000	0.00000	0.00000
LG02_15065000_15070000	77.00000	0.00000	0.00345	0.00452	0.00861	12.00000	0.00454	0.00593	0.00528	0.00575	-0.90530	0.19680	0.00575	0.00052	0.00108	0.01206	0.18711	2.09563	0.05157	0.00000	1.00000	0.00000	0.00000
LG02_15085000_15090000	43.00000	0.00000	0.00064	0.00810	0.00043	0.00000	0.00045	0.00375	0.00047	0.00374	-0.14427	0.02977	0.00329	0.00119	0.00000	0.00597	0.00000	1.81295	0.23568	0.00000	1.00000	0.00000	0.00000
LG02_15335000_15340000	88.00000	0.00000	0.00269	0.01263	0.00290	2.00000	0.00264	0.00663	0.00245	0.00680	0.48519	-0.16612	0.00511	0.00048	0.00083	0.01242	0.16216	2.43243	0.05311	0.00000	1.00000	0.00000	0.00000
LG02_15820000_15825000	94.00000	0.00000	0.00930	0.00703	0.00310	4.00000	0.00489	0.00451	0.00543	0.00444	-0.63841	0.10152	0.00681	0.00211	0.00145	0.01282	0.21248	1.88196	0.19679	0.00000	1.00000	0.00000	0.00000
LG02_16595000_16600000	85.00000	0.00000	0.00250	0.01502	0.00021	0.00000	0.00118	0.00637	0.00119	0.00667	-0.02874	-0.28966	0.00519	0.00142	0.00042	0.01001	0.08036	1.92857	0.16984	0.00000	1.00000	0.00000	0.00000
LG02_16830000_16835000	84.00000	0.00042	0.00709	0.00834	0.00167	1.00000	0.00413	0.00432	0.00384	0.00438	0.48809	-0.08789	0.00684	0.00261	0.00167	0.01189	0.24407	1.73898	0.25190	1.00000	0.00000	0.00000	0.00000
LG02_16925000_16930000	78.00000	0.00042	0.00230	0.01171	0.00188	2.00000	0.00185	0.00559	0.00183	0.00595	0.07671	-0.39180	0.00497	0.00125	0.00125	0.00795	0.25234	1.59813	0.15482	1.00000	0.00000	0.00000	0.00000
LG02_16955000_16960000	59.00000	0.00000	0.00316	0.00695	0.00232	1.00000	0.00262	0.00384	0.00240	0.00406	0.59814	-0.33285	0.00371	0.00047	0.00021	0.00695	0.05678	1.87382	0.07379	0.00000	1.00000	0.00000	0.00000
LG02_18460000_18465000	56.00000	0.00000	0.00432	0.00391	0.00329	2.00000	0.00351	0.00291	0.00334	0.00316	0.33890	-0.49591	0.00407	0.00086	0.00124	0.00659	0.30337	1.61798	0.12746	0.00000	1.00000	0.00000	0.00000
LG02_19140000_19145000	66.00000	0.00000	0.00355	0.00773	0.00251	4.00000	0.00249	0.00425	0.00265	0.00448	-0.38238	-0.33622	0.00478	0.00141	0.00084	0.00773	0.17476	1.61650	0.18593	0.00000	1.00000	0.00000	0.00000
LG02_19480000_19485000	120.00000	0.00000	0.00457	0.01745	0.00291	1.00000	0.00328	0.00885	0.00327	0.00891	0.01355	-0.04814	0.00880	0.00274	0.00083	0.01911	0.09436	2.17038	0.19767	0.00000	1.00000	0.00000	0.00000
LG02_20760000_20765000	75.00000	0.00000	0.00229	0.01248	0.00083	0.00000	0.00116	0.00598	0.00137	0.00583	-0.90951	0.16157	0.00639	0.00282	0.00021	0.00978	0.03255	1.52984	0.30105	0.00000	1.00000	0.00000	0.00000
LG02_20795000_20800000	45.00000	0.00000	0.00169	0.00338	0.00444	5.00000	0.00216	0.00344	0.00268	0.00343	-1.24608	0.02448	0.00287	0.00007	0.00000	0.00571	0.00000	1.99180	0.01311	0.00000	1.00000	0.00000	0.00000
LG02_21575000_21580000	58.00000	0.00000	0.00204	0.00673	0.00306	2.00000	0.00226	0.00409	0.00223	0.00429	0.06775	-0.29093	0.00332	0.00015	0.00020	0.00632	0.06143	1.90444	0.02431	0.00000	1.00000	0.00000	0.00000
LG02_21590000_21595000	73.00000	0.00000	0.00461	0.00607	0.00461	4.00000	0.00380	0.00444	0.00404	0.00468	-0.37708	-0.32592	0.00502	0.00090	0.00147	0.00922	0.29234	1.83759	0.10606	0.00000	1.00000	0.00000	0.00000
LG02_21870000_21875000	38.00000	0.00000	0.00293	0.00376	0.00125	1.00000	0.00184	0.00213	0.00183	0.00220	0.02916	-0.18610	0.00245	0.00046	0.00063	0.00690	0.25592	2.81517	0.11315	0.00000	1.00000	0.00000	0.00000
LG02_22260000_22265000	35.00000	0.00000	0.00104	0.00540	0.00083	1.00000	0.00066	0.00239	0.00082	0.00273	-1.12062	-0.77401	0.00158	0.00005	0.00021	0.00436	0.13139	2.75912	0.01778	0.00000	1.00000	0.00000	0.00000
LG02_23660000_23665000	87.00000	0.00000	0.00291	0.01103	0.00416	4.00000	0.00289	0.00637	0.00310	0.00666	-0.43701	-0.27623	0.00564	0.00102	0.00208	0.00895	0.36885	1.58607	0.10688	0.00000	1.00000	0.00000	0.00000
LG02_23760000_23765000	56.00000	0.00000	0.00062	0.00874	0.00229	1.00000	0.00118	0.00566	0.00128	0.00483	-0.46541	1.10199	0.00443	0.00101	0.00021	0.00937	0.04700	2.11488	0.13852	0.00000	1.00000	0.00000	0.00000
LG02_23800000_23805000	49.00000	0.00000	0.00248	0.00660	0.00103	1.00000	0.00158	0.00296	0.00154	0.00334	0.18446	-0.73537	0.00452	0.00225	0.00000	0.00660	0.00000	1.46193	0.35063	0.00000	1.00000	0.00000	0.00000
LG02_24690000_24695000	141.00000	0.00062	0.00392	0.01937	0.00515	3.00000	0.00379	0.01032	0.00397	0.01074	-0.28862	-0.25460	0.01090	0.00384	0.00433	0.01669	0.39706	1.53151	0.22914	1.00000	0.00000	0.00000	0.00000
LG02_26185000_26190000	155.00000	0.00000	0.00308	0.00493	0.02381	22.00000	0.01030	0.01342	0.01178	0.01258	-0.80967	0.43181	0.01084	-0.00102	0.00021	0.02217	0.01893	2.04416	-0.04917	0.00000	1.00000	0.00000	0.00000
LG02_27380000_27385000	96.00000	0.00000	0.00541	0.00875	0.00583	9.00000	0.00469	0.00630	0.00492	0.00638	-0.30282	-0.08197	0.00594	0.00044	0.00104	0.01000	0.17544	1.68421	0.04158	0.00000	1.00000	0.00000	0.00000
LG02_27690000_27695000	109.00000	0.00000	0.00249	0.01493	0.00518	3.00000	0.00315	0.00913	0.00336	0.00881	-0.39475	0.24107	0.00699	0.00085	0.00062	0.01389	0.08896	1.98682	0.07000	0.00000	1.00000	0.00000	0.00000
LG02_27985000_27990000	95.00000	0.00000	0.00355	0.00752	0.00877	7.00000	0.00569	0.00749	0.00539	0.00713	0.35484	0.32200	0.00655	-0.00004	0.00104	0.01253	0.15929	1.91150	-0.00308	0.00000	1.00000	0.00000	0.00000
LG02_28395000_28400000	97.00000	0.00000	0.00396	0.00438	0.01188	24.00000	0.00688	0.00647	0.00694	0.00712	-0.05513	-0.58393	0.00623	-0.00045	0.00083	0.01251	0.13383	2.00743	-0.03790	0.00000	1.00000	0.00000	0.00000
LG02_31520000_31525000	145.00000	0.00000	0.00468	0.00936	0.01546	9.00000	0.00889	0.01086	0.00882	0.01087	0.05600	-0.00371	0.00984	-0.00004	0.00447	0.01586	0.45465	1.61194	-0.00200	0.00000	1.00000	0.00000	0.00000
LG03_1095000_1100000	99.00000	0.00000	0.00438	0.00939	0.00689	3.00000	0.00547	0.00657	0.00494	0.00713	0.69184	-0.50844	0.00630	0.00028	0.00125	0.00981	0.19890	1.55801	0.02460	0.00000	1.00000	0.00000	0.00000
LG03_1315000_1320000	193.00000	0.00000	0.00573	0.01986	0.01392	5.00000	0.00863	0.01388	0.00861	0.01480	0.01376	-0.40054	0.01259	0.00134	0.00450	0.01679	0.35772	1.33333	0.06089	0.00000	1.00000	0.00000	0.00000
LG03_1445000_1450000	115.00000	0.00000	0.00739	0.00841	0.00780	6.00000	0.00624	0.00657	0.00665	0.00710	-0.39937	-0.48430	0.00674	0.00034	0.00287	0.01005	0.42640	1.49239	0.02776	0.00000	1.00000	0.00000	0.00000
LG03_2370000_2375000	234.00000	0.00000	0.01498	0.01436	0.01867	5.00000	0.01443	0.01327	0.01474	0.01447	-0.13468	-0.53749	0.01356	-0.00028	0.00390	0.02031	0.28739	1.49748	-0.01135	0.00000	1.00000	0.00000	0.00000
LG03_2615000_2620000	137.00000	0.00000	0.00505	0.00442	0.01934	15.00000	0.01138	0.01086	0.01068	0.01041	0.42421	0.28468	0.01245	0.00133	0.00252	0.01850	0.20263	1.48593	0.06120	0.00000	1.00000	0.00000	0.00000
LG03_2635000_2640000	84.00000	0.00000	0.00231	0.00734	0.00797	4.00000	0.00459	0.00598	0.00450	0.00671	0.12142	-0.69267	0.00542	0.00013	0.00084	0.01300	0.15484	2.40000	0.01352	0.00000	1.00000	0.00000	0.00000
LG03_2870000_2875000	73.00000	0.00000	0.00314	0.00586	0.00627	4.00000	0.00396	0.00524	0.00412	0.00531	-0.25138	-0.08465	0.00519	0.00059	0.00209	0.00962	0.40268	1.85235	0.06564	0.00000	1.00000	0.00000	0.00000
