locusName	L_including_N	L	nSegSite	nsamA	nsamB	mutation_scalar
LG02_19140000_19145000	4998	4787	66	6	6	1.1320045918493635
LG02_19480000_19485000	4998	4815	120	6	6	1.0509082510743353
LG02_20760000_20765000	4998	4808	75	6	6	1.040875714071239
LG02_20795000_20800000	4998	4731	45	6	6	1.1861014959247371
LG02_21575000_21580000	4998	4902	58	6	6	0.5471912890438763
LG02_21590000_21595000	4998	4774	73	6	6	1.1415112026687366
LG02_21870000_21875000	4998	4783	38	6	6	1.1182098534701062
LG02_22260000_22265000	4998	4816	35	6	6	0.96855784317392
LG02_23660000_23665000	4998	4803	87	6	6	1.073899481706431
LG02_23760000_23765000	4998	4805	56	6	6	1.036695490319949
LG02_23800000_23805000	4998	4846	49	6	6	0.8327005712569913
LG02_24690000_24695000	4998	4852	141	6	6	0.9438945230413083
LG02_26185000_26190000	4998	4872	155	6	6	1.0521623181997222
LG02_27380000_27385000	4998	4802	96	6	6	1.0993988465893005
LG02_27690000_27695000	4998	4824	109	6	6	0.9936391856816607
LG02_27985000_27990000	4998	4790	95	6	6	1.1928565030103793
LG02_28395000_28400000	4998	4798	97	6	6	1.1616841804835234
LG02_31520000_31525000	4998	4917	145	6	6	0.5514180900377659
LG03_1095000_1100000	4998	4790	99	6	6	1.0454779941892154
LG03_1315000_1320000	4998	4884	193	6	6	0.8126354972507986
LG03_1445000_1450000	4998	4874	115	6	6	0.7716693044881555
LG03_2370000_2375000	4998	4874	234	6	6	0.32802227724746863
LG03_2615000_2620000	4998	4756	137	6	6	1.470184693328734
LG03_2635000_2640000	4998	4768	84	6	6	1.2553211925124221
LG03_2870000_2875000	4998	4781	73	6	6	1.1967980599943602
LG03_3150000_3155000	4998	4810	90	6	6	1.0312611994432717
LG03_3875000_3880000	4998	4834	114	6	6	0.8125194966721383
LG03_4210000_4215000	4998	4863	43	6	6	0.7394815816032215
LG03_4340000_4345000	4998	4801	138	6	6	1.2076666417477147
LG03_4720000_4725000	4998	4847	39	6	6	0.8084552734995085
LG03_5255000_5260000	4998	4792	120	6	6	0.9564240470318418
LG03_5560000_5565000	4998	4774	87	6	6	1.1078665525979465
LG03_8115000_8120000	4998	4901	87	6	6	0.5923377055578095
LG03_8160000_8165000	4998	4864	61	6	6	0.7449158724798988
LG03_8910000_8915000	4998	4759	74	6	6	1.0788122575924888
LG03_9480000_9485000	4998	4813	84	6	6	1.039203624570723
LG03_10760000_10765000	4998	4822	85	6	6	1.0320972441935299
LG03_11390000_11395000	4998	4811	67	6	6	1.0521623181997222
LG03_12020000_12025000	4998	4789	157	6	6	0.9732782518618663
LG03_14095000_14100000	4998	4737	85	6	6	0.8977824013836873
LG03_14255000_14260000	4998	4802	76	6	6	1.0605227657023026
LG03_15135000_15140000	4998	4807	116	6	6	1.1261522785975573
LG03_16625000_16630000	4998	4816	43	6	6	0.9777543354267583
LG03_18245000_18250000	4998	4817	50	6	6	0.973574111675468
LG03_18565000_18570000	4998	4822	99	6	6	1.0091060135614343
LG03_19720000_19725000	4998	4751	77	6	6	0.9415136758805388
LG03_20180000_20185000	4998	4585	79	6	6	0.7923463306046282
LG03_21125000_21130000	4998	4755	84	6	6	1.359408763919546
LG03_22105000_22110000	4998	4730	101	6	6	1.2538182844813321
LG04_85000_90000	4998	4787	98	6	6	1.1671184713602005
LG04_870000_875000	4998	4879	123	6	6	0.7010235230913525
LG04_1525000_1530000	4998	4877	71	6	6	0.6914090084633853
LG04_2480000_2485000	4998	4888	153	6	6	0.7461699396052858
LG04_2880000_2885000	4998	4318	71	6	6	0.7228837678129906
LG04_2955000_2960000	4998	4819	116	6	6	0.9225919414126245
LG04_3260000_3265000	4998	4800	103	6	6	1.148725486854524
LG04_3340000_3345000	4998	4945	146	6	6	0.4259648002564629
LG04_3960000_3965000	4998	4772	95	6	6	0.8675590492922921
LG04_4690000_4695000	4998	4819	60	6	6	0.967303776048533
LG04_5900000_5905000	4998	4773	99	6	6	1.2227154472523591
LG04_6215000_6220000	4998	4770	80	6	6	1.2866728706470978
LG04_7070000_7075000	4998	4786	61	6	6	0.9239729542931366
LG04_7255000_7260000	4998	4733	53	6	6	0.7919962534345828
LG04_7810000_7815000	4998	4785	141	6	6	1.2018143284959084
LG04_7990000_7995000	4998	4791	89	6	6	1.1675364937353296
LG04_8385000_8390000	4998	4838	82	6	6	0.8866254576486337
LG04_9015000_9020000	4998	4859	92	6	6	0.7193689783354134
LG04_9025000_9030000	4998	4827	112	6	6	0.9994914989334668
LG04_9125000_9130000	4998	4834	100	6	6	0.9677217984236619
LG04_9470000_9475000	4998	4832	72	6	6	0.9213213147843416
LG04_9625000_9630000	4998	4863	44	6	6	0.7461699396052858
LG04_10525000_10530000	4998	4793	75	6	6	1.1106854507177841
LG04_10755000_10760000	4998	4710	69	6	6	1.1483367158416906
LG04_10845000_10850000	4998	4888	112	6	6	0.6771962477089989
LG04_11295000_11300000	4998	4797	72	6	6	0.9730068015991067
LG04_11455000_11460000	4998	4805	114	6	6	1.116119741594461
LG04_13125000_13130000	4998	4827	64	6	6	0.9397142992900183
LG04_13305000_13310000	4998	4798	42	6	6	0.9393968948081185
LG04_14465000_14470000	4998	4800	59	6	6	1.0504902286992062
LG04_14785000_14790000	4998	4794	169	6	6	1.1006343666468492
LG04_15090000_15095000	4998	4796	79	6	6	1.1207179877208802
LG04_16410000_16415000	4998	4801	61	6	6	1.0860221305851723
LG04_16430000_16435000	4998	4765	71	6	6	1.2369282080067454
LG04_16815000_16820000	4998	4801	52	6	6	1.0226609607044674
LG04_17040000_17045000	4998	4807	45	6	6	1.004925789810144
LG04_17200000_17205000	4998	4737	52	6	6	1.1722385491735614
LG04_17480000_17485000	4998	4781	77	6	6	1.185093433490748
LG04_19205000_19210000	4998	4754	48	6	6	1.2891810048978718
LG04_19470000_19475000	4998	4807	69	6	6	0.9158699600544268
LG04_19790000_19795000	4998	4869	85	6	6	0.7725053492384135
LG04_20280000_20285000	4998	4820	83	6	6	1.0341873560691748
LG04_20575000_20580000	4998	4724	86	6	6	1.3527987483372728
LG04_22030000_22035000	4998	4838	88	6	6	0.9225753819097287
LG04_22110000_22115000	4998	4831	95	6	6	0.9990734765583379
LG04_22405000_22410000	4998	4818	51	6	6	0.9886229171801125
LG04_22690000_22695000	4998	4784	125	6	6	1.2678618637662922
LG04_22900000_22905000	4998	4853	124	6	6	0.8937318380258269
LG04_23055000_23060000	4998	4543	118	6	6	0.661716703290953
LG04_23690000_23695000	4998	4268	84	6	6	0.543836815820948
LG04_24605000_24610000	4998	4829	91	6	6	0.5993580898529616
LG04_24955000_24960000	4998	4862	93	6	6	0.8126354972507986
LG05_310000_315000	4998	4927	72	6	6	0.4426856952616233
LG05_1205000_1210000	4998	4784	71	6	6	1.0456882250346184
LG05_1525000_1530000	4998	4896	113	6	6	0.6157469585650341
LG05_3465000_3470000	4998	4374	53	6	6	0.5852404980853997
LG05_4310000_4315000	4998	4562	64	6	6	1.0267977992443136
LG05_4965000_4970000	4998	4682	88	6	6	0.7908067528703869
LG05_5655000_5660000	4998	4727	91	6	6	1.4777090960810562
LG05_5715000_5720000	4998	4778	66	6	6	0.9575320282921859
LG05_6015000_6020000	4998	4781	101	6	6	1.2126419703451095
LG05_6620000_6625000	4998	4815	137	6	6	1.0621948552028186
LG05_6855000_6860000	4998	4904	111	6	6	0.6170010256904213
LG05_7890000_7895000	4998	4816	67	6	6	1.0312611994432717
LG05_7935000_7940000	4998	4826	114	6	6	1.0333513113189168
LG05_8205000_8210000	4998	4867	55	6	6	0.7018595678416105
LG05_8585000_8590000	4998	4884	195	6	6	0.7587106108591561
LG05_10660000_10665000	4998	4807	80	6	6	1.0504902286992062
LG05_11995000_12000000	4998	4752	73	6	6	1.1864297097218814
LG05_12730000_12735000	4998	4760	105	6	6	1.3915964868044797
LG05_16450000_16455000	4998	4794	47	6	6	1.0881122424608174
LG05_16635000_16640000	4998	4226	58	6	6	0.367919714841858
LG05_16880000_16885000	4998	4480	90	6	6	1.1822548863446622
LG05_17490000_17495000	4998	4682	76	6	6	0.8920697796787065
LG05_18225000_18230000	4998	4820	179	6	6	1.1901097019922962
LG05_18870000_18875000	4998	4853	119	6	6	0.7800131117755618
LG05_19315000_19320000	4998	4753	58	6	6	1.2806859059571492
LG05_19510000_19515000	4998	4729	75	6	6	1.1599097647931853
LG05_19815000_19820000	4998	4968	170	6	6	0.3486306608575957
LG05_20735000_20740000	4998	4856	146	6	6	0.4996094378226696
LG06_300000_305000	4998	4772	36	6	6	1.1633562699840394
LG06_1315000_1320000	4998	4786	71	6	6	1.1370208603509118
LG06_1370000_1375000	4998	4576	57	6	6	1.2051501295954765
LG06_2590000_2595000	4998	4982	133	6	6	0.17180719617802379
LG06_2800000_2805000	4998	4923	73	6	6	0.32853683888190904
LG06_3290000_3295000	4998	4918	40	6	6	0.47947166427297633
LG06_3375000_3380000	4998	4762	109	6	6	1.1188333444702987
LG06_3465000_3470000	4998	4780	101	6	6	1.2105927983736178
LG06_3810000_3815000	4998	4820	57	6	6	0.9472387020423404
LG06_3835000_3840000	4998	4801	79	6	6	1.1014889584649457
LG06_4210000_4215000	4998	4857	79	6	6	0.7649809464860914
LG06_4545000_4550000	4998	4820	78	6	6	0.9247957799407991
LG06_6405000_6410000	4998	4768	67	6	6	1.2335840290057134
LG06_6425000_6430000	4998	4798	151	6	6	1.1637742923591683
LG06_6710000_6715000	4998	4823	47	6	6	0.9472387020423404
LG06_8510000_8515000	4998	4824	68	6	6	0.9409683664154053
LG06_12850000_12855000	4998	4777	108	6	6	1.218953245876198
LG06_12915000_12920000	4998	4842	94	6	6	0.9075265764050843
LG06_13730000_13735000	4998	4868	68	6	6	0.7499321409814469
LG06_13835000_13840000	4998	4873	51	6	6	0.7026956125918685
LG06_15785000_15790000	4998	4946	28	6	6	0.29177961784005013
LG06_15840000_15845000	4998	4944	23	6	6	0.29052555071466307
LG06_16655000_16660000	4998	4822	29	6	6	0.9246654937853738
LG06_16695000_16700000	4998	4752	69	6	6	1.0446379154474001
LG06_17815000_17820000	4998	4729	142	6	6	1.276357598510278
LG06_18185000_18190000	4998	4623	66	6	6	0.7965006954726231
LG06_20410000_20415000	4998	4715	122	6	6	1.5980995401182114
LG06_20460000_20465000	4998	4010	51	6	6	1.1952230807668371
LG06_20630000_20635000	4998	4667	121	6	6	0.9935320804462421
LG06_21335000_21340000	4998	4755	97	6	6	1.2520509208100938
LG06_21345000_21350000	4998	4799	94	6	6	1.181749254489716
LG06_21390000_21395000	4998	4773	90	6	6	1.25197701351139
LG06_21485000_21490000	4998	4822	61	6	6	0.9535090376692756
LG06_22750000_22755000	4998	4812	110	6	6	1.0931285109623654
LG06_23015000_23020000	4998	4547	93	6	6	0.6439610395698135
LG07_720000_725000	4998	4924	180	6	6	0.4713789427436087
LG07_3085000_3090000	4998	4576	86	6	6	0.352970260738896
LG07_3875000_3880000	4998	4745	50	6	6	1.327221041034612
LG07_4945000_4950000	4998	4797	121	6	6	1.1984701494948764
LG07_5440000_5445000	4998	4818	110	6	6	0.9410773901476679
LG07_5505000_5510000	4998	4826	98	6	6	1.0229007519406916
LG07_5535000_5540000	4998	4770	49	6	6	0.894496362223762
LG07_5625000_5630000	4998	4709	106	6	6	1.0828850389624511
LG07_6355000_6360000	4998	4766	44	6	6	1.2277317157539072
LG07_6550000_6555000	4998	4775	83	6	6	1.257411304388067
LG07_7460000_7465000	4998	4749	50	6	6	1.2912101081025522
LG07_8765000_8770000	4998	4796	58	6	6	1.0366731801370066
LG07_8835000_8840000	4998	4774	58	6	6	1.223969514377746
LG07_9100000_9105000	4998	4865	62	6	6	0.7453338948550278
LG07_9160000_9165000	4998	4830	61	6	6	0.9150509791574064
LG07_9695000_9700000	4998	4751	73	6	6	1.2242703091040845
LG07_10315000_10320000	4998	4809	55	6	6	1.0116141478122083
LG07_11675000_11680000	4998	4727	112	6	6	1.5007003267131518
LG07_11875000_11880000	4998	4799	75	6	6	1.0818419068338823
LG07_11970000_11975000	4998	4718	62	6	6	1.0912032937260447
LG07_12050000_12055000	4998	4813	125	6	6	1.0534163853251095
LG07_13075000_13080000	4998	4820	112	6	6	1.0446379154474001
LG07_13125000_13130000	4998	4815	97	6	6	0.8998470235256019
LG07_13695000_13700000	4998	4761	131	6	6	0.8936342339464163
LG07_13960000_13965000	4998	4812	88	6	6	1.1054967009119032
LG07_14260000_14265000	4998	4847	115	6	6	0.9476567244174695
LG07_14425000_14430000	4998	4818	35	6	6	0.9547631047946626
LG07_15265000_15270000	4998	4809	52	6	6	1.0061798569355311
LG07_15550000_15555000	4998	4779	135	6	6	1.255739214887551
LG07_16240000_16245000	4998	4912	42	6	6	0.4978646487786529
LG07_16605000_16610000	4998	4805	112	6	6	0.8428184396805268
LG07_16690000_16695000	4998	4767	122	6	6	1.327639063409741
LG07_16755000_16760000	4998	4824	67	6	6	0.970647955049565
LG07_16975000_16980000	4998	4760	130	6	6	1.2451494831052798
LG07_17650000_17655000	4998	4839	46	6	6	0.6520293948747742
LG07_18390000_18395000	4998	4738	63	6	6	1.3828180169267705
LG07_18940000_18945000	4998	4749	77	6	6	1.3176065264066448
LG07_18960000_18965000	4998	4794	129	6	6	1.0616529307603377
LG07_20625000_20630000	4998	4755	82	6	6	1.327639063409741
LG07_22365000_22370000	4998	4779	53	6	6	1.0578718162463518
LG07_22520000_22525000	4998	4851	109	6	6	0.8820272115222145
LG07_23275000_23280000	4998	4813	115	6	6	1.0580146314515284
LG07_23570000_23575000	4998	4786	57	6	6	1.118627875845235
LG07_23590000_23595000	4998	4801	51	6	6	1.0609407880774318
LG08_125000_130000	4998	4988	76	6	6	0.1902001806837003
LG08_150000_155000	4998	4929	66	6	6	0.43098106875801095
LG08_515000_520000	4998	4776	60	6	6	1.0650139214394367
LG08_1385000_1390000	4998	4785	90	6	6	1.1800771649892
LG08_1715000_1720000	4998	4776	89	6	6	0.9265961538272067
LG08_1895000_1900000	4998	4782	114	6	6	0.8406402753274848
LG08_2120000_2125000	4998	4766	96	6	6	1.1236016764417107
LG08_2380000_2385000	4998	4726	69	6	6	0.9423313193526742
LG08_2535000_2540000	4998	4815	90	6	6	0.9891500325863937
LG08_4010000_4015000	4998	4794	52	6	6	1.028082971551644
LG08_4620000_4625000	4998	4782	101	6	6	1.0885408561931285
LG08_4705000_4710000	4998	4793	83	6	6	1.1641923147342974
LG08_4815000_4820000	4998	4782	64	6	6	1.0490456703648996
LG08_5775000_5780000	4998	4835	74	6	6	0.8849533681481176
LG08_6375000_6380000	4998	4851	63	6	6	0.8122174748756695
LG08_6625000_6630000	4998	4822	76	6	6	0.9647956417977589
LG08_6755000_6760000	4998	4735	82	6	6	0.8686426228346652
LG08_6790000_6795000	4998	4774	94	6	6	1.2273136933787783
LG08_7065000_7070000	4998	4738	99	6	6	1.1716827690028213
LG08_7095000_7100000	4998	4742	89	6	6	1.0463323808414755
LG08_7125000_7130000	4998	4810	77	6	6	1.035023400819433
LG08_7855000_7860000	4998	4696	77	6	6	1.3095562272707728
LG08_8650000_8655000	4998	4764	54	6	6	0.6490455245156798
LG08_9170000_9175000	4998	4727	93	6	6	1.3645622157141186
LG08_9300000_9305000	4998	4779	69	6	6	1.1729707846120065
LG08_9940000_9945000	4998	4808	49	6	6	0.9953112751821768
LG08_10455000_10460000	4998	4822	95	6	6	0.8791424033097742
LG08_10870000_10875000	4998	4577	69	6	6	0.792085648838067
LG08_11630000_11635000	4998	4787	126	6	6	1.1955439928689733
LG08_11945000_11950000	4998	4783	63	6	6	1.1717167174866197
LG08_11990000_11995000	4998	4762	92	6	6	0.8455983779060147
LG08_12625000_12630000	4998	4848	68	6	6	0.8301924370062173
LG08_13115000_13120000	4998	4847	68	6	6	0.8335366160072492
LG08_13225000_13230000	4998	4737	55	6	6	1.2679337336900276
LG08_15310000_15315000	4998	4804	75	6	6	1.0258269085665945
LG08_16580000_16585000	4998	4853	81	6	6	0.8189058328777338
LG08_16600000_16605000	4998	4795	79	6	6	1.010005555381332
LG08_16655000_16660000	4998	4790	75	6	6	0.7695322552778006
LG08_16925000_16930000	4998	4799	96	6	6	1.077821025749107
LG08_17325000_17330000	4998	4706	95	6	6	1.4516915550011344
LG08_17340000_17345000	4998	4833	102	6	6	0.9175591134081806
LG08_18655000_18660000	4998	4847	86	6	6	0.864052249391667
LG08_19175000_19180000	4998	4839	119	6	6	0.9125428449066324
LG08_19215000_19220000	4998	4781	82	6	6	1.179659142614071
LG08_19735000_19740000	4998	4836	129	6	6	0.8503306418119998
LG08_20975000_20980000	4998	4273	80	6	6	0.7675279488155009
LG08_22345000_22350000	4998	4606	68	6	6	0.8256648897294087
LG08_22840000_22845000	4998	4367	68	6	6	0.4150222497980858
LG08_22885000_22890000	4998	4214	58	6	6	0.5176923562333736
LG08_22995000_23000000	4998	4866	92	6	6	0.8101273630000246
LG08_23685000_23690000	4998	4806	97	6	6	1.0889482872110754
LG08_23795000_23800000	4998	4847	123	6	6	0.969393887924178
LG08_25260000_25265000	4998	4501	52	6	6	0.52596516336226
LG08_26185000_26190000	4998	4868	144	6	6	0.8218319895036369
LG08_26850000_26855000	4998	4856	167	6	6	0.9367881426641151
LG09_425000_430000	4998	4955	78	6	6	0.286345326963373
LG09_1280000_1285000	4998	4772	102	6	6	1.2741321993932275
LG09_1745000_1750000	4998	4645	127	6	6	0.7116637008665436
LG09_1760000_1765000	4998	4882	121	6	6	0.7817018414912518
LG09_2630000_2635000	4998	4789	164	6	6	1.226469088443364
LG09_2665000_2670000	4998	4366	112	6	6	0.8363626486298319
LG09_2680000_2685000	4998	4771	157	6	6	1.1341541798268862
LG09_2735000_2740000	4998	4794	64	6	6	1.111103473092913
LG09_2960000_2965000	4998	4860	106	6	6	0.5683438295037189
LG09_3520000_3525000	4998	4735	91	6	6	1.346076766979075
LG09_4050000_4055000	4998	4855	62	6	6	0.7783576624902198
LG09_4115000_4120000	4998	4735	67	6	6	1.0480309740440623
LG09_4750000_4755000	4998	4837	130	6	6	0.9802624696775323
LG09_5905000_5910000	4998	4779	75	6	6	1.1859294782410061
LG09_8045000_8050000	4998	4778	91	6	6	1.0765866001854292
LG09_8145000_8150000	4998	4783	96	6	6	1.2302398500046812
LG09_8280000_8285000	4998	4842	129	6	6	0.8217622210396601
LG09_8380000_8385000	4998	4815	85	6	6	0.9234321890823991
LG09_8420000_8425000	4998	4768	152	6	6	1.2986027736368042
LG09_8450000_8455000	4998	4456	51	6	6	0.8306156471182028
LG09_8460000_8465000	4998	4797	66	6	6	1.0074569560598696
LG09_9605000_9610000	4998	4779	128	6	6	1.2578293267631961
LG09_10935000_10940000	4998	4807	28	6	6	0.9986554541832089
LG09_11000000_11005000	4998	4784	77	6	6	1.0320316654621136
LG09_12070000_12075000	4998	4784	50	6	6	1.1130256228250377
LG09_12550000_12555000	4998	4821	58	6	6	0.966885753673404
LG09_13270000_13275000	4998	4771	70	6	6	0.9576551302484654
LG09_13290000_13295000	4998	4804	65	6	6	1.0471460496981742
LG09_13355000_13360000	4998	4761	43	6	6	1.1255117536632153
LG09_13370000_13375000	4998	4709	67	6	6	1.4095154660470652
LG09_13590000_13595000	4998	4787	100	6	6	1.2001422389953924
LG09_13690000_13695000	4998	4772	115	6	6	1.2753862665186144
LG09_14895000_14900000	4998	4781	113	6	6	1.0931622183768892
LG09_16205000_16210000	4998	4751	88	6	6	1.1707693630089788
LG09_16755000_16760000	4998	4825	82	6	6	0.9815165368029193
LG09_17755000_17760000	4998	4772	47	6	6	1.1779870531135548
LG09_18065000_18070000	4998	4762	85	6	6	1.2884146864138746
LG09_19195000_19200000	4998	4830	93	6	6	0.9572712390454367
LG09_19390000_19395000	4998	4757	99	6	6	1.324294884408709
LG09_19565000_19570000	4998	4783	106	6	6	1.134573630022342
LG09_21105000_21110000	4998	4767	73	6	6	1.287926937772485
LG09_22060000_22065000	4998	4828	40	6	6	0.9242474714102448
LG09_22285000_22290000	4998	4795	41	6	6	1.0642849670784635
LG09_22470000_22475000	4998	4784	39	6	6	1.10817731646701
LG09_22560000_22565000	4998	4653	101	6	6	0.5816508688328832
LG09_24330000_24335000	4998	4833	86	6	6	0.9484927691677274
LG09_25070000_25075000	4998	4853	85	6	6	0.8439871753854744
LG09_25135000_25140000	4998	4827	61	6	6	0.9267556056610188
LG09_25910000_25915000	4998	4767	39	6	6	1.217281156375682
LG09_26285000_26290000	4998	4960	45	6	6	0.10059164455758607
LG09_26570000_26575000	4998	4937	87	6	6	0.4560624112657517
LG09_26650000_26655000	4998	4913	66	6	6	0.5810511014293261
LG09_26900000_26905000	4998	4850	37	6	6	0.7837919533668968
LG10_270000_275000	4998	4796	54	6	6	0.6222288174308817
LG10_790000_795000	4998	4806	85	6	6	1.0659570565789798
LG10_1055000_1060000	4998	4856	88	6	6	0.8138895643761856
LG10_1315000_1320000	4998	4798	163	6	6	0.6647306456639464
LG10_2180000_2185000	4998	4645	78	6	6	1.3582429174671922
LG10_2205000_2210000	4998	4777	109	6	6	1.3201146606574188
LG10_2695000_2700000	4998	4732	89	6	6	1.1110281017489303
LG10_4170000_4175000	4998	4786	77	6	6	1.1717167174866197
LG10_4990000_4995000	4998	4773	127	6	6	1.3414338017889984
LG10_5575000_5580000	4998	4841	69	6	6	0.628302836776771
LG10_5695000_5700000	4998	4812	107	6	6	1.0642849670784635
LG10_5800000_5805000	4998	4770	150	6	6	1.2158383781639959
LG10_6175000_6180000	4998	4778	56	6	6	0.9918061369309187
LG10_7065000_7070000	4998	4487	83	6	6	0.9654918658913336
LG10_7935000_7940000	4998	4839	42	6	6	0.8569458690144739
LG10_7970000_7975000	4998	4799	92	6	6	1.1044151150908488
LG10_9590000_9595000	4998	4834	102	6	6	0.8368866790956047
LG10_10495000_10500000	4998	4764	90	6	6	0.8492472051008815
LG10_10505000_10510000	4998	4757	32	6	6	1.2515589911362608
LG10_10635000_10640000	4998	4725	47	6	6	1.2798864216630654
LG10_12510000_12515000	4998	4797	54	6	6	1.0835139963343983
LG10_12655000_12660000	4998	4359	74	6	6	1.2036942369306156
LG10_12815000_12820000	4998	4785	62	6	6	1.149143509229653
LG10_13510000_13515000	4998	4833	50	6	6	0.8853713905232466
LG10_13865000_13870000	4998	4827	55	6	6	0.9196492252838256
LG10_14155000_14160000	4998	4710	63	6	6	1.1258780790672915
LG10_16860000_16865000	4998	4811	54	6	6	0.9940572080567898
