N1	N2	Na	Tsplit	M12	M21
1.14649	1.92141	0.70587	1.31625	17.94406	9.48461
1.58258	1.91125	0.22884	1.0218	34.68453	35.1882
1.17889	0.76682	1.25695	0.04914	38.93733	13.0529
1.78356	0.85387	1.81112	1.48029	39.51283	37.72905
0.77088	1.23646	0.2452	0.96612	37.07438	34.0469
0.85793	0.43458	0.55426	0.75993	18.75812	31.17381
0.9094	1.89142	1.31689	0.79003	23.58749	21.13538
1.44321	0.4237	0.93821	0.17995	22.83117	29.06257
1.1119	1.57258	1.49138	1.43495	8.35007	13.69671
1.44443	1.41106	1.43065	0.98634	8.51847	38.41586
0.01872	0.53827	0.57585	0.16224	6.55012	9.93837
1.39869	1.09436	0.64886	0.4529	35.39453	7.22231
1.77428	0.0203	1.54477	0.44178	31.98003	10.69543
1.67666	0.93292	1.82657	0.78388	37.53373	36.77802
1.71792	0.25266	1.87029	1.58771	6.87553	26.57168
0.41747	1.08495	1.73443	1.19081	38.45558	23.21343
1.36751	1.53854	1.85888	0.27824	27.19801	7.64431
1.74355	1.76386	1.42486	0.54284	16.47184	3.0711
1.96407	0.8118	0.3102	0.29238	18.99591	1.36821
1.88617	0.21889	1.29392	1.66454	39.21379	7.91421
0.30338	0.41893	1.23474	1.61896	21.90579	2.80256
1.1979	1.68004	1.55072	0.22028	4.17432	38.47719
1.362	1.51626	1.53502	1.32979	18.89237	27.9273
0.13933	1.06992	1.1144	0.8529	6.61515	17.47749
0.44	0.22299	0.45323	0.12069	36.5064	18.43657
0.40059	0.29494	0.51504	1.20166	27.67772	15.61086
1.44085	1.54822	1.11974	0.65855	35.41418	17.4597
0.42132	0.5256	0.30308	0.82604	21.47923	16.94615
0.28861	1.69229	0.36709	0.06789	10.27533	37.64137
0.96214	0.12416	1.29715	1.21906	13.54549	2.28048
0.56474	0.70774	0.41632	0.4934	2.86008	27.63483
1.55916	1.09003	1.61241	1.56332	10.81988	34.60522
1.63945	0.48525	0.28054	0.36626	32.28908	12.12367
1.63821	0.81738	0.95252	1.64037	20.43688	38.49012
1.71398	0.90189	1.38264	0.30696	30.32324	25.56404
0.48241	0.74704	0.66859	0.4976	4.67096	38.54401
0.83748	1.62177	0.10728	1.64167	29.30292	22.45254
0.25334	1.43071	1.87982	0.48216	4.94891	27.63449
0.63868	1.09086	1.09056	0.81698	28.86048	34.25889
1.07663	1.88888	1.71816	0.65758	27.23884	22.18349
1.78841	0.84077	0.40869	1.31728	36.44688	5.0913
1.7128	1.35421	1.56342	0.99623	17.59595	10.12192
1.73936	1.92414	1.5444	1.0271	10.53713	21.63317
0.18993	1.06648	1.21646	0.07882	11.43564	5.59269
0.28902	0.1024	0.33106	0.00838	34.23451	9.05434
1.8883	0.81048	0.60939	0.0271	32.85566	34.71938
0.71959	0.73072	0.05717	1.60034	39.24013	7.27349
0.32054	1.41915	1.83523	1.67026	4.56885	2.98625
0.89479	0.83673	1.01189	1.5502	9.12705	35.91259
0.82652	1.28664	0.83352	0.81476	35.14423	22.5292
0.54698	0.9459	0.55534	1.64964	15.69148	10.59961
1.23568	0.76453	1.75627	1.12297	37.92519	8.40731
1.02737	0.43603	0.78523	1.17926	16.79146	16.35907
0.98753	0.34283	1.96204	0.25565	18.68245	10.88165
1.71178	0.17301	1.31805	0.78702	2.90287	23.26642
0.94075	1.04349	0.76354	1.0186	38.68061	4.98036
1.53935	1.02205	0.15783	1.69974	21.07561	21.32961
1.43467	0.53293	0.85224	0.99894	37.48186	7.08151
0.89146	0.18768	1.89521	0.80932	6.4209	14.63578
1.03738	0.08196	0.44325	1.34212	33.93037	9.8948
0.3585	1.8316	1.15063	0.29766	37.1902	22.59437
0.61698	0.7595	0.74107	1.15431	5.65066	27.122
0.06315	0.5541	0.54717	0.56895	31.14039	5.92956
1.99592	1.13002	1.90926	1.05533	17.36226	16.97757
0.29786	0.27776	1.93896	1.43732	10.64886	24.29893
0.73592	1.19539	1.68724	0.63897	31.61985	10.37227
0.22877	1.32216	0.74122	0.18453	34.36197	26.6349
1.30513	1.07984	0.84052	1.23304	32.19886	24.70367
0.69272	0.70317	1.83701	0.16926	31.37647	14.42208
0.70297	0.03759	0.71259	0.7206	33.00351	38.01442
1.39223	0.57705	0.13768	1.46604	39.09344	19.86543
0.35082	0.12507	0.46703	1.02218	8.29035	28.00262
0.57002	1.10244	1.25764	1.32233	4.7158	27.49918
1.73422	1.4475	1.78325	0.44014	23.18245	22.54778
1.9888	0.3691	1.44227	1.58914	1.67404	6.85367
1.53265	0.52591	1.73896	1.61633	39.7912	2.16997
0.43888	1.44524	1.97086	0.09525	33.74805	20.01821
1.95727	0.00796	0.19936	0.42197	29.15122	33.8688
0.31212	0.47851	0.06956	1.02713	1.86721	7.03678
0.3652	0.8891	0.83068	0.23726	36.04983	10.5593
1.5436	1.69959	1.96588	0.2273	27.22915	10.52755
1.50987	1.03348	0.97098	0.21424	5.3379	25.30904
0.25064	1.2945	1.08679	1.42159	37.46178	16.84797
0.60562	0.5276	1.54951	0.50819	22.04657	10.50398
1.60143	1.80717	1.41184	1.47158	3.41872	30.56083
0.13241	0.8528	1.19664	1.67224	37.92194	26.92852
1.03715	1.13339	0.65236	0.96477	38.91088	27.46385
1.85251	1.62038	0.89707	1.3672	3.03123	18.11532
0.28249	0.64818	0.20076	1.20899	23.46996	14.91155
0.28114	1.97503	1.82365	0.47803	32.77569	37.24145
0.42637	1.99106	0.91889	0.32252	4.2017	33.98779
0.98969	1.78981	0.46644	1.12284	21.10419	37.79726
0.82168	0.7192	0.09161	0.98951	20.12534	17.31976
0.99482	1.12199	1.37451	1.65244	37.79268	36.43602
0.00936	1.0918	0.54879	0.78661	24.25432	38.32395
1.83929	0.8575	1.9195	0.40552	36.65615	13.93526
1.4937	0.95502	0.3236	0.24416	35.84896	5.3703
1.23179	1.90678	0.47361	0.02054	25.12899	36.59608
0.76515	1.53506	1.92996	1.39342	14.454	5.29077
1.49023	1.53939	0.12092	0.00114	27.62344	5.39925
0.68079	0.52599	1.84644	1.34096	35.63113	4.98928
1.46838	1.57871	0.45555	0.59729	36.99127	19.2391
0.22514	0.4677	0.0785	0.72883	31.57846	11.42679
0.32912	1.99654	0.91766	1.29402	2.12568	33.74
0.24944	1.24936	1.45462	1.53984	7.08003	34.4272
0.44159	1.44862	1.97333	1.65106	9.32001	28.79555
1.3088	1.40038	0.99629	0.87786	10.40233	28.05903
1.04762	0.71408	1.93492	1.23448	8.39562	39.76657
0.9964	1.69578	1.78933	0.40361	31.02381	31.03503
0.50509	0.91487	0.85391	1.62753	19.29407	31.70315
0.03742	1.13441	0.77339	0.84548	21.42363	15.01846
0.76422	1.82917	0.66087	0.47945	31.92635	14.96083
1.06592	1.10599	1.29062	0.09514	15.74713	26.7239
1.30538	1.28705	0.20933	0.54671	4.40273	37.80678
0.03802	0.31437	0.16	1.11813	18.65928	26.16403
1.68806	0.10973	0.7882	1.38609	23.15561	8.28957
1.54642	1.54532	0.97564	1.1483	33.78928	30.74192
0.11129	0.22287	1.44977	0.41431	7.76774	21.9281
0.73277	0.62239	1.112	1.05561	33.01376	2.96129
0.3091	0.21371	1.9594	0.53223	26.75726	34.30736
0.57712	1.15974	0.02273	1.14466	5.70688	38.05992
1.90192	1.92438	1.58841	1.03481	7.29528	4.9341
1.27517	1.64717	1.51033	1.58565	21.22209	30.91135
1.42186	1.34625	0.58049	0.59428	14.01745	7.79907
0.88384	0.47157	0.02949	1.41818	27.13989	1.01459
0.32757	1.05676	1.03603	0.69416	37.069	36.49734
0.89132	0.43685	1.42578	0.43401	10.54189	10.10562
0.66082	1.1096	0.78753	0.96128	38.1445	22.07763
0.62603	0.54704	0.62534	0.21993	20.43716	3.29307
0.28595	0.57482	1.47722	1.61176	30.31129	14.96442
1.88152	1.42068	1.17372	1.61665	36.32839	4.7345
0.75818	0.13026	1.49618	1.6	17.87714	30.12634
0.65717	1.22264	0.14561	0.85246	12.72851	3.84689
1.27093	0.2168	1.43122	0.21231	2.65073	39.12379
1.07937	1.04844	0.51545	0.06131	13.33855	18.00142
0.84318	1.42477	1.66563	1.51721	28.56137	32.56448
1.92852	1.73355	1.94351	0.22961	23.46605	37.43627
1.44615	1.61225	1.35423	0.54833	9.62614	14.234
1.47153	0.19673	1.05224	1.26218	21.80128	18.99648
0.16716	1.37804	1.38834	0.62187	4.83631	15.34373
1.72527	0.11339	1.75904	1.29628	13.26815	13.05847
1.40471	0.48695	1.5246	1.22429	17.35499	13.32527
1.515	1.40489	1.22928	0.61039	16.73496	16.14013
0.47793	0.33194	1.62846	0.9959	27.33725	6.43498
1.99957	1.28505	1.4081	1.31722	25.90421	5.16445
0.25315	1.52278	0.57934	1.07725	33.48457	24.65415
1.83286	1.04117	0.02969	1.42679	31.72307	21.58006
1.06284	0.00499	1.44609	1.04777	36.74428	39.79268
0.90437	1.47799	1.82217	0.60625	11.02034	37.14016
0.06607	1.65465	1.16931	1.6149	18.14341	1.5729
0.90008	1.30729	1.63918	0.68565	12.60103	21.66992
1.79633	1.76789	1.88915	1.62231	16.52084	5.80038
1.72972	0.94151	1.2665	0.19159	19.27296	24.85183
1.51476	0.29933	1.36947	1.3671	5.42374	17.40722
0.77203	0.78877	0.84	1.15755	1.69575	25.36642
1.48049	1.667	1.27748	1.63965	12.87171	32.18635
1.92767	1.74402	0.21194	1.00063	8.45928	29.16557
1.04502	1.1397	1.94285	1.49609	10.52307	18.44033
0.63114	1.30382	0.78127	1.70915	17.95923	6.30553
0.09994	1.53265	1.14645	0.7569	25.74838	16.1818
0.34549	1.81994	0.94515	0.81956	17.05958	21.05443
1.54019	0.59035	0.7493	0.99646	9.56103	25.89564
0.95848	0.44645	1.60136	1.10341	36.25373	35.49052
0.33136	1.27553	1.49932	0.64687	35.3955	18.60211
0.00798	1.11765	1.83838	1.0635	20.8626	38.54197
0.18233	0.27726	0.28154	1.02899	37.06383	37.65717
0.67621	1.23988	1.7304	1.36774	27.32162	29.62864
1.06261	1.1221	1.6895	0.57279	16.68905	25.1942
1.09381	1.49347	1.30539	0.32373	20.37142	32.96316
1.49593	0.27515	1.88819	1.65864	31.82	24.38582
1.55021	0.70424	0.86407	1.71936	14.58482	30.33773
1.20855	0.98686	0.14702	0.68227	37.49834	23.34452
0.9595	0.49021	0.81305	0.15938	9.94574	19.82562
1.58039	1.86064	1.52259	1.42024	8.40869	17.44723
0.71715	1.14702	1.32405	0.69172	3.99962	24.09612
1.31412	0.384	1.88092	1.19734	24.2039	10.3655
1.3926	0.31536	1.79988	0.01818	8.01133	13.61565
0.02516	1.14079	0.07834	0.54311	12.14668	15.53677
1.31326	0.92343	0.23278	1.26219	31.63378	28.82926
0.82614	1.92515	1.23263	0.53907	34.49356	22.34475
1.26323	0.40094	0.78241	1.27316	12.75247	1.85225
1.17478	0.55513	0.13545	0.69089	19.9881	36.0015
0.06108	1.77476	1.05611	0.47842	18.52876	30.93441
1.72609	1.06979	0.62275	1.29963	19.52717	38.63184
0.73884	0.69857	1.69565	0.46866	6.97619	8.39921
0.9483	1.59832	0.12143	1.49028	18.89958	4.7094
0.1409	0.71713	0.24298	1.12294	2.02757	2.25505
1.7535	1.33794	1.25371	1.03213	16.2882	11.44354
0.44035	0.44854	0.37787	1.30817	12.68697	16.37416
1.36903	1.9173	0.86876	0.55108	17.45241	17.76252
0.14473	0.04205	0.53632	0.83582	36.04585	30.17345
0.36595	1.57065	0.96155	1.46738	34.00515	36.32077
0.23728	0.3977	0.80879	1.70456	37.5236	6.99638
0.89338	1.18303	1.07671	1.29298	15.78554	8.78784
1.34776	1.96238	0.63442	1.49318	30.18799	12.80677
1.84306	0.65966	1.23865	1.67976	26.61254	20.88247
1.73093	0.09283	0.04093	0.98445	28.16837	12.59397
0.80494	0.27266	0.83486	1.22783	33.83429	32.74822
0.49294	1.60344	1.2647	0.50525	27.6316	22.3933
0.15749	1.2817	0.0346	1.35519	33.87819	21.61624
1.89117	1.45228	0.98835	1.16496	20.99791	4.62115
0.35157	0.9139	1.30742	0.55056	18.82923	6.65562
1.31956	0.81198	0.71411	0.86834	18.9639	25.26582
0.98099	1.62866	0.57572	1.37961	24.86374	9.34946
1.65891	1.22403	1.37853	0.16448	39.67495	16.22883
1.05882	1.14864	1.77555	0.08483	1.67171	33.89368
1.87864	0.14303	1.50255	0.16796	15.72608	20.71952
0.92814	0.466	1.25907	1.08426	38.18962	17.24996
1.71208	1.30479	1.80324	1.67923	22.42165	9.93478
1.0226	0.2488	1.16636	0.91964	23.65728	31.5403
0.21154	0.4279	0.45316	0.91276	6.35875	13.33472
0.1567	1.50301	1.76195	1.18375	6.50495	24.64933
0.72736	1.94229	1.92854	0.89003	3.51509	28.04479
1.29175	0.37515	1.98538	1.14117	35.6465	6.20217
1.52979	0.40558	1.97029	1.71673	24.32443	23.0349
1.29558	0.70539	0.76315	1.70518	7.3085	1.57255
1.01072	0.23715	1.03181	1.70118	3.44371	32.82786
1.98757	1.91522	0.67306	0.94082	9.44372	33.08254
1.23446	1.48931	1.64766	1.51996	33.47225	38.63483
1.16938	1.14009	0.02041	1.11517	16.25499	8.23253
1.29984	1.24401	0.98386	0.31361	7.06484	34.95157
0.45617	0.05101	0.85147	0.73297	7.27691	16.24233
0.97588	1.75026	1.9602	0.73584	39.06373	34.9997
1.52851	0.32754	1.32877	0.33728	39.77495	29.31765
1.42342	0.79638	1.02473	1.32812	39.53893	23.28887
0.82331	0.49904	0.02265	1.44633	3.59144	7.0022
0.66432	1.20083	1.52314	1.10978	3.77968	38.53
0.97932	1.10806	1.9267	1.53358	13.82893	38.66197
0.09255	1.91529	1.65126	1.31675	2.09121	12.67543
1.77412	0.01807	0.8804	0.88498	12.54702	35.07184
0.52373	1.13925	0.99986	0.31821	16.32677	9.33314
1.32403	1.18441	1.64045	1.35543	30.2601	18.91084
1.30627	1.26409	0.61503	1.30537	31.77281	7.47197
1.02427	0.99509	1.79992	0.45556	2.66608	33.38052
1.50163	0.23435	1.48851	1.05148	13.86159	19.09877
0.03809	1.07557	1.35208	0.3251	25.33848	36.37669
1.64439	1.39076	0.84864	0.90726	19.23996	34.91046
0.39598	1.5059	1.06305	1.43274	8.11179	36.79793
0.31462	1.6397	0.56378	0.86696	18.16875	35.48842
0.71478	1.12332	1.16011	0.63939	30.82091	2.54144
1.97056	0.01315	0.18119	0.71812	29.44161	2.78135
0.42494	1.50191	0.62024	0.70316	32.65792	21.60505
0.97559	0.37331	1.31681	0.73888	14.45425	8.18896
0.41192	0.14759	0.92373	0.01899	28.92345	34.69635
1.86361	0.21483	1.61116	0.43314	24.15619	36.95558
0.39401	0.53963	0.27581	0.8892	27.22315	12.68385
0.84835	1.94686	0.67497	0.00764	33.72326	38.71142
0.712	0.91557	1.50191	0.64354	1.09004	9.72943
0.3736	0.08856	0.01431	0.38661	39.15447	23.64163
0.18588	0.05068	1.78695	0.58697	28.91519	4.11007
0.70619	1.40206	0.90373	0.18169	26.46871	37.2122
0.2356	1.3611	0.64412	1.61644	22.20169	22.61013
1.33733	0.52138	1.31749	0.28703	38.89176	4.57241
1.38534	0.65254	1.09712	0.39125	28.23061	1.93297
1.15781	1.98092	1.50619	1.08184	26.22093	17.23535
0.45077	0.90096	0.68559	1.69821	27.02113	27.12591
0.96471	0.42619	1.13967	0.11519	29.37989	16.87841
0.60119	0.87744	1.70704	0.50591	23.21216	35.87529
0.00144	0.44166	0.97458	0.52928	21.38892	39.9519
1.06518	1.71059	1.32872	0.00867	29.49348	27.05282
0.67879	0.28562	0.25808	1.23265	36.6673	29.67059
0.68802	0.49477	0.61296	0.00262	12.75637	24.60895
1.65706	1.36645	1.34645	1.46022	17.41554	37.49213
1.72112	1.67134	1.36943	0.72411	29.09034	38.69472
1.29937	1.83379	1.91962	0.88243	23.8436	11.93523
1.43627	0.29371	0.44443	0.28848	10.28934	2.2238
1.33131	1.136	0.54018	0.1388	26.29489	12.14406
1.94695	1.82113	0.5126	0.57281	14.29263	26.42386
1.48146	0.51047	1.25566	0.64997	37.24815	31.92462
0.84937	0.38092	0.56317	0.29719	30.8946	29.17838
1.0157	0.3794	1.26045	0.91053	20.38481	32.51365
1.06324	0.35946	0.69721	0.42099	27.65001	10.58067
1.16445	1.38541	1.16872	0.15847	31.50071	30.83089
0.24038	0.7882	1.77095	1.55665	6.04488	9.53005
1.48136	1.30971	0.48169	1.16358	7.9946	36.98312
0.02978	0.1546	0.13494	1.42038	4.69471	38.55278
1.95016	0.13533	1.79637	0.67404	27.47119	25.23946
0.65778	0.08659	1.2142	0.47242	10.37956	19.36242
1.79051	0.42084	1.67831	1.15252	1.90926	2.68723
1.01944	1.54829	0.78459	0.14069	17.89842	35.38881
1.48649	1.74245	1.47581	0.10473	17.60446	16.56555
1.71897	0.90084	1.29933	0.1693	8.0823	23.68604
