,non,C,A,G,X,X1,X2,X3,node,tip,Species
31,0,0,1,0,0,0,0,0,31,PL17_68gutpri_guttavarius_pri_Atlantic,guttavarius
32,0,0,1,0,0,0,0,0,32,19076gutbar_guttavarius_bar_Atlantic,guttavarius
33,0,1,0,0,0,0,0,0,33,23318gutboc_guttavarius_boc_Caribbean,guttavarius
34,0,1,0,0,0,0,0,0,34,20605nighon_nigricans_hon_Caribbean,nigricans
35,0,1,0,0,0,0,0,0,35,18454uniboc_unicolor_boc_Caribbean,unicolor
36,0,1,0,0,0,0,0,0,36,19519affgun_affinis_gun_Caribbean,affinis
37,0,1,0,0,0,0,0,0,37,20604nighon_nigricans_hon_Caribbean,nigricans
38,0,1,0,0,0,0,0,0,38,20571unihon_unicolor_hon_Caribbean,unicolor
39,0,1,0,0,0,0,0,0,39,20607nighon_nigricans_hon_Caribbean,nigricans
40,0,1,0,0,0,0,0,0,40,20558puehon_puella_hon_Caribbean,puella
41,0,0,0,1,0,0,0,0,41,PL17_159pueflk_puella_flk_GulfofMexico,puella
42,0,1,0,0,0,0,0,0,42,23322affboc_affinis_boc_Caribbean,affinis
43,0,1,0,0,0,0,0,0,43,29137nigqui_nigricans_qui_Caribbean,nigricans
44,0,1,0,0,0,0,0,0,44,18158nigbel_nigricans_bel_Caribbean,nigricans
45,0,1,0,0,0,0,0,0,45,18165nigbel_nigricans_bel_Caribbean,nigricans
46,0,0,0,1,0,0,0,0,46,PL17_149nigflk_nigricans_flk_GulfofMexico,nigricans
47,0,1,0,0,0,0,0,0,47,PL17_124maybel_maya_bel_Caribbean,maya
48,0,1,0,0,0,0,0,0,48,20892ranhon_randallorum_hon_Caribbean,randallorum
49,0,1,0,0,0,0,0,0,49,20567unihon_unicolor_hon_Caribbean,unicolor
50,0,0,1,0,0,0,0,0,50,HypoHaiti2libhai_liberte_hai_Atlantic,liberte
51,0,1,0,0,0,0,0,0,51,20562unihon_unicolor_hon_Caribbean,unicolor
52,0,1,0,0,0,0,0,0,52,18492abebel_aberrans_bel_Caribbean,aberrans
53,0,1,0,0,0,0,0,0,53,PL17_111indbel_indigo_bel_Caribbean,indigo
54,0,0,0,1,0,0,0,0,54,PL17_155pueflk_puella_flk_GulfofMexico,puella
55,0,1,0,0,0,0,0,0,55,PL17_98indbel_indigo_bel_Caribbean,indigo
56,0,1,0,0,0,0,0,0,56,29213indqui_indigo_qui_Caribbean,indigo
57,0,1,0,0,0,0,0,0,57,20757indhon_indigo_hon_Caribbean,indigo
58,0,0,1,0,0,0,0,0,58,PL17_35indpri_indigo_pri_Atlantic,indigo
59,0,1.05E-05,1.19E-08,0.9999895,9.28E-13,1.99E-14,3.19E-12,2.72E-28,59,NA,NA
60,0,2.10E-05,2.39E-08,0.999979001,2.67E-13,1.12E-20,8.89E-18,1.23E-37,60,NA,NA
61,0,0.00012194,1.39E-07,0.999877921,8.71E-14,3.50E-21,3.07E-18,6.07E-41,61,NA,NA
62,0,0.001093938,1.25E-06,0.998904817,7.02E-14,2.66E-21,2.34E-18,3.98E-42,62,NA,NA
63,0,0.010451447,1.19E-05,0.989536655,5.04E-14,2.55E-20,2.24E-17,3.72E-43,63,NA,NA
64,0,0.100537062,0.000114448,0.89934849,2.72E-14,1.74E-20,1.54E-17,2.50E-46,64,NA,NA
65,0,0.000967701,3.75E-16,0.999032299,4.23E-17,1.24E-22,3.58E-18,1.13E-43,65,NA,NA
66,0,0.001971194,2.19E-16,0.998028806,5.48E-17,1.48E-22,4.41E-17,1.19E-43,66,NA,NA
67,0,0.011631906,3.49E-16,0.988368094,1.51E-16,2.46E-22,4.25E-16,3.52E-43,67,NA,NA
68,0,0.104636472,9.36E-16,0.895363528,8.11E-16,3.03E-21,3.32E-15,2.25E-42,68,NA,NA
69,0,0.959487775,0.001100831,0.039411393,1.59E-16,1.68E-19,1.01E-17,8.39E-47,69,NA,NA
70,0,0.956210724,2.35E-16,0.043789276,1.87E-17,1.68E-23,9.32E-17,1.56E-45,70,NA,NA
71,0,0.965296427,6.42E-16,0.034703573,3.87E-16,2.96E-22,2.38E-16,4.66E-43,71,NA,NA
72,0,0.874462885,1.52E-15,0.125537115,4.62E-15,5.49E-21,1.28E-15,7.38E-42,72,NA,NA
73,0,0.947370955,4.23E-16,0.052629045,1.56E-16,4.26E-23,2.30E-16,2.65E-44,73,NA,NA
74,0,0.861482791,1.77E-15,0.138517209,3.34E-15,4.30E-21,1.01E-15,4.61E-42,74,NA,NA
75,0,0.96537047,3.98E-16,0.03462953,4.97E-16,3.07E-22,2.58E-16,4.63E-43,75,NA,NA
76,0,0.874529962,8.99E-16,0.125470038,3.05E-15,2.79E-21,9.19E-16,1.95E-42,76,NA,NA
77,0,0.997174152,0.002566955,0.000258894,3.41E-20,2.90E-20,7.82E-18,1.13E-50,77,NA,NA
78,0,0.98637449,0.013172569,0.000452942,3.29E-21,1.56E-18,1.66E-17,1.90E-49,78,NA,NA
79,0,0.886110397,0.113889603,2.27E-15,4.48E-23,2.82E-17,7.97E-17,6.36E-46,79,NA,NA
80,0,0.990291541,0.009708459,4.73E-16,2.86E-22,4.03E-17,4.69E-17,1.50E-43,80,NA,NA
81,0,0.980705723,0.019294277,3.90E-16,4.27E-22,6.43E-16,2.54E-16,8.98E-43,81,NA,NA
82,0,0.88842218,0.11157782,9.34E-16,3.25E-21,3.54E-15,9.66E-16,2.63E-42,82,NA,NA
83,0,0.998389616,0.000137307,0.001473077,9.52E-19,2.26E-19,1.06E-17,3.79E-47,83,NA,NA
84,0,0.988856215,5.51E-16,0.011143785,4.83E-16,3.57E-22,1.29E-16,6.43E-43,84,NA,NA
85,0,0.895805717,1.28E-15,0.104194283,5.02E-15,5.33E-21,1.15E-15,6.83E-42,85,NA,NA
86,0,0.999306744,0.000693256,2.25E-16,9.17E-24,7.75E-18,1.12E-18,2.92E-46,86,NA,NA
87,0,0.993970497,0.006029503,1.63E-16,2.53E-24,3.85E-18,6.45E-18,3.77E-47,87,NA,NA
88,0,1,4.09E-16,2.97E-16,3.11E-22,3.09E-22,2.62E-30,1.97E-43,88,NA,NA
89,0,0.942597953,0.057402047,8.15E-16,4.92E-22,2.12E-15,1.15E-16,2.05E-43,89,NA,NA
90,0,0.448029773,0.551970227,1.48E-15,8.19E-22,1.71E-15,3.57E-16,7.69E-43,90,NA,NA
91,0,0.499969675,0.500030325,8.30E-16,2.53E-21,3.13E-15,1.78E-15,2.15E-42,91,NA,NA
92,0,0.999999243,1.72E-07,5.85E-07,1.34E-23,7.27E-24,1.22E-21,9.37E-53,92,NA,NA
93,0,1,4.10E-16,4.48E-16,1.85E-22,1.86E-22,1.69E-30,7.13E-44,93,NA,NA
94,0,0.999995847,1.30E-06,2.85E-06,7.09E-23,5.63E-23,4.63E-21,6.34E-53,94,NA,NA
95,0,0.999987746,2.19E-16,1.23E-05,9.66E-20,1.70E-23,3.38E-20,6.08E-46,95,NA,NA
96,0,0.999883421,1.83E-16,0.000116579,3.92E-18,8.43E-23,1.19E-18,1.68E-44,96,NA,NA
97,0,0.998879074,1.74E-16,0.001120926,3.83E-17,1.05E-22,1.11E-17,4.27E-44,97,NA,NA
98,0,0.989210131,3.04E-16,0.010789869,3.48E-16,2.05E-22,9.10E-17,2.10E-43,98,NA,NA
99,0,0.896126331,7.72E-16,0.103873669,3.09E-15,2.57E-21,7.12E-16,1.59E-42,99,NA,NA
100,0,0.999975417,1.22E-05,1.24E-05,3.74E-22,1.56E-21,2.09E-20,3.71E-51,100,NA,NA
101,0,0.999883409,2.05E-16,0.000116591,2.57E-18,4.97E-23,7.77E-19,6.02E-45,101,NA,NA
102,0,0.998879062,2.05E-16,0.001120938,3.73E-17,1.23E-22,1.05E-17,5.52E-44,102,NA,NA
103,0,0.989210119,3.40E-16,0.010789881,4.46E-16,2.16E-22,1.14E-16,3.02E-43,103,NA,NA
104,0,0.89612632,1.01E-15,0.10387368,2.91E-15,2.76E-21,6.99E-16,1.86E-42,104,NA,NA
105,0,0.999881891,0.000116736,1.37E-06,3.67E-22,4.19E-20,2.03E-19,4.47E-49,105,NA,NA
106,0,0.998879152,0.001120848,2.58E-16,6.88E-23,1.99E-17,5.47E-18,1.79E-44,106,NA,NA
107,0,0.989210209,0.010789791,4.41E-16,2.52E-22,5.32E-16,1.31E-16,4.77E-43,107,NA,NA
108,0,0.896126401,0.103873599,1.41E-15,3.78E-21,3.37E-15,8.10E-16,3.48E-42,108,NA,NA
109,0,0.99998464,2.27E-06,1.31E-05,3.05E-19,5.26E-20,1.13E-19,3.85E-45,109,NA,NA
110,0,0.999852425,2.17E-05,0.000125901,3.43E-18,5.90E-19,1.19E-18,1.06E-44,110,NA,NA
111,0,0.998579579,0.000208484,0.001211936,3.74E-17,6.43E-18,1.15E-17,5.25E-46,111,NA,NA
112,0,0.986325774,0.002006932,0.011667294,1.32E-19,7.84E-19,1.56E-17,1.56E-48,112,NA,NA
113,0,0.895331463,1.06E-15,0.104668537,3.97E-15,3.69E-21,8.66E-16,3.24E-42,113,NA,NA
114,0,0.9883327,0.0116673,6.68E-16,3.04E-24,1.72E-17,7.08E-18,1.81E-46,114,NA,NA
115,0,0.895331465,0.104668535,1.67E-15,1.49E-21,1.28E-15,2.82E-16,5.30E-43,115,NA,NA
